Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Study Design,"Reasoning for ""Study Design""",Data Reporting,"Reasoning for ""Data Reporting""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Setting,"Reasoning for ""Study Setting""",Test Methodology,"Reasoning for ""Test Methodology""",Test Type and Reference Standard,"Reasoning for ""Test Type and Reference Standard""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Performance of different rapid antigen testing strategies for SARS‐CoV‐2: A living rapid review,"N. Shaver, Alexandria Bennett, Andrew Beck, Niyati Vyas, Gabriele Zitiktye, Eric Lam, Barbara Whelan, Rhea O’Regan, A. Conway, B. Skidmore, D. Moher, Julian Little",10.1111/eci.14058,https://doi.org/10.1111/eci.14058,European Journal of Clinical Investigation,2,2023,maybe,No information is provided about the participant age groups.,maybe,"The abstract mentions examining ""diagnostic test accuracy"" and ""effectiveness of different RADT strategies"", indicating that this appears to be a primary diagnostic accuracy study.",maybe,"The abstract mentions RADTs specifically, suggesting separate reporting of RADT results, but this is not explicitly confirmed.",maybe,"The abstract mentions ""diagnostic test accuracy"" but does not explicitly state which specific outcome measures will be reported.",maybe,The abstract does not provide any explicit mention of the study setting (clinical or community).,yes,The abstract clearly focuses on rapid antigen detection tests (RADTs) and explicitly mentions these as the primary focus.,maybe,"The abstract mentions RADTs for SARS-CoV-2, but does not explicitly mention RT-PCR as the reference standard.",Include,"The abstract focuses on rapid antigen detection tests for SARS-CoV-2, suggesting a diagnostic accuracy study, but lacks critical details about population age, reference standard, and specific outcome measures. Multiple screening criteria remain uncertain due to the abstract's brevity, preventing a definitive assessment of the study's alignment with inclusion requirements.",3.4
Panbio™ rapid antigen test for SARS-CoV-2 has acceptable accuracy in symptomatic patients in primary health care,"Oana Bulilete, Patricia Lorente, A. Leiva, E. Carandell, A. Oliver, Estrella Rojo, Pau Pericas, J. Llobera",10.1016/j.jinf.2021.02.014,https://doi.org/10.1016/j.jinf.2021.02.014,Journal of Infection,54,2021,yes,"The abstract explicitly states ""Consecutive patients older than 18 years"" were included, meeting the adult population criterion.",yes,This is a primary diagnostic accuracy study comparing rapid antigen tests against RT-PCR as the reference standard.,yes,"The study clearly reports rapid antigen test (Panbio™ Ag-RDT) results separately, with specific sensitivity and specificity values provided.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (71.4%), specificity (99.8%), PPV (98.0%), and NPV (96.8%) with confidence intervals.",yes,"The study was conducted in primary health care centers and test sites, which qualifies as a clinical setting.",yes,The study specifically evaluates a rapid antigen test (Panbio™ Ag-RDT) for SARS-CoV-2.,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 was conducted among adults in primary health care settings, using RT-PCR as the reference standard. The research meticulously reported detailed diagnostic performance metrics, including sensitivity, specificity, and predictive values, while meeting all predefined screening criteria for a robust diagnostic accuracy assessment.",5
"SARS-CoV-2 antigen tests for screening of healthcare workers; experience with over 48,000 combined antigen tests and RT-PCR tests","A. Piek, M. Knoester, L. Gard, M. Lokate, H. Niesters, C.L. van Leer-Buter",10.1016/j.jcv.2022.105326,https://doi.org/10.1016/j.jcv.2022.105326,Journal of Clinical Virology,6,2022,yes,"The study focuses on healthcare workers (HCWs), who are by definition adults. No mention of including children or pregnant individuals.",yes,This is a primary diagnostic accuracy study comparing antigen tests against RT-PCR as the reference standard.,yes,"The study clearly reports rapid antigen test results separately from RT-PCR results, with detailed paired analysis of 48,010 results.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (79.0% and 92.0% at different Ct thresholds), specificity (99.8%), PPV (93.8%), and NPV (99.1% and 99.7%).",yes,The study is conducted in a clinical setting (healthcare workers in healthcare facilities).,yes,"The study specifically evaluates rapid antigen tests for SARS-CoV-2, not antibody tests or other diagnostics.",yes,The study explicitly uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests.,Include,"A comprehensive diagnostic accuracy study of rapid antigen tests for SARS-CoV-2 among healthcare workers, utilizing RT-PCR as the reference standard and reporting detailed performance metrics across a large sample size. The research meticulously evaluated test sensitivity, specificity, and predictive values using different viral load thresholds, providing robust evidence for the diagnostic utility of rapid antigen testing in clinical settings.",4.9
Combined point of care nucleic acid and antibody testing for SARS-CoV-2: a prospective cohort study in suspected moderate to severe COVID-19 disease.,"P. Mlcochova, D. Collier, A. Ritchie, S. Assennato, M. Hosmillo, N. Goel, B. Meng, K. Chatterji, V. Mendoza, Nigel James Temperton, L. Kiss, K. A. Ciazyns, X. Xiong, J. Briggs, J. Nathan, F. Mescia, H. Zhang, P. Barmpounakis, N. Demeris, R. Skells, P. Lyons, J. Bradley, S. Baker, H. H. Lee, K. Smith, I. Goodfellow, R. Gupta",10.1101/2020.06.16.20133157,https://doi.org/10.1101/2020.06.16.20133157,medRxiv,6,2020,maybe,"The study includes adults with a median age of 73.5 years for COVID-19 positive cases and 63.0 years for negative cases. While it appears to be an adult population, the abstract doesn't explicitly state that all participants were 18+ or that data was reported separately for adults.",yes,"This is a primary diagnostic accuracy study that reports original data, including sensitivity and specificity calculations.",no,"The study does not report rapid antigen test results separately from other test types. The focus appears to be on nucleic acid tests and antibody tests, rather than rapid antigen tests.",yes,"The study clearly reports quantifiable diagnostic accuracy data, including sensitivity and specificity with confidence intervals.",yes,The study is conducted in a clinical setting (emergency department).,no,"The study evaluates nucleic acid tests and antibody tests, but does not appear to evaluate rapid antigen tests specifically. The focus is on ""rapid nucleic acid test"" and ""rapid antibody point of care (POC) tests.""",maybe,"While the study uses RT-PCR as a reference standard, it's not evaluating rapid antigen tests. The study uses a ""composite gold standard of neutralisation and the standard laboratory RT-PCR.""",Exclude,"The study primarily focuses on nucleic acid and antibody tests for COVID-19 diagnosis, which does not align with the screening criteria for rapid antigen tests. While the research provides valuable diagnostic accuracy data in a clinical setting, it fails to meet key requirements such as evaluating rapid antigen tests and reporting their results separately. Consequently, the study does not qualify for inclusion based on the specified screening criteria.",1.4
The sensitivity of SARS-CoV-2 antigen tests in the view of large-scale testing,"Pavel Dřevínek, Jakub Hurych, Z. Kepka, A. Briksí, Michal Kulich, M. Zajac, Petr Hubacek",10.1101/2020.11.23.20237198,https://doi.org/10.1101/2020.11.23.20237198,medRxiv,25,2020,maybe,"The abstract doesn't explicitly state the age range of participants. While it mentions ""subjects"" and includes both symptomatic and asymptomatic individuals, there's no specific mention of age restrictions or separate reporting for adults.",yes,This is a primary diagnostic accuracy study comparing antigen tests against PCR as the reference standard.,yes,"The study clearly reports rapid antigen test results separately, providing specific sensitivity values for two different antigen tests (Panbio and Standard F).",yes,"The study reports quantifiable diagnostic accuracy data, specifically sensitivity values with confidence intervals for both tests.",yes,"While not explicitly stated, the context suggests a clinical setting given the collection of nasopharyngeal and oropharyngeal swabs and the structured testing protocol.",yes,The study specifically evaluates point-of-care rapid antigen tests (Panbio Covid-19 Ag Rapid Test and Standard F Covid-19 Ag FIA).,yes,The study uses RT-PCR (Allplex SARS-nCoV-2) as the reference standard and evaluates point-of-care rapid antigen tests.,Include,"A comprehensive diagnostic accuracy study comparing two rapid antigen tests against RT-PCR, reporting detailed sensitivity data across symptomatic and asymptomatic populations. The research systematically evaluates point-of-care antigen tests with robust methodology, though participant age range remains unspecified. Quantifiable diagnostic accuracy measures and clear test comparisons provide valuable insights into SARS-CoV-2 testing performance.",4.6
Clinical Performance of the Point-of-Care cobas Liat for Detection of SARS-CoV-2 in 20 Minutes: a Multicenter Study,"G. Hansen, Jamie Marino, Zi-Xuan Wang, K. Beavis, J. Rodrigo, Kylie Labog, L. Westblade, R. Jin, N. Love, Karen Ding, Sachin Garg, Alan Huang, J. Sickler, N. Tran",10.1128/JCM.02811-20,https://doi.org/10.1128/JCM.02811-20,Journal of Clinical Microbiology,75,2020,maybe,"The abstract does not explicitly state the age range of participants, so it cannot be confirmed that the study only includes non-pregnant adult participants or that the data of adult participants are reported separately.",yes,"This is a primary diagnostic accuracy study comparing two testing methods, which meets the criterion of being a primary diagnostic accuracy study or meta-analysis reporting original data.",no,"The study reports results for RT-PCR tests, not rapid antigen tests. The data is clearly separated and focused on comparing two different RT-PCR systems, which fails to meet the criterion of reporting rapid antigen test results separately.",yes,"The study reports quantifiable diagnostic accuracy data (positive percent agreement 100%, negative percent agreement 97.4%), which meets the criterion of reporting quantifiable diagnostic accuracy data.",yes,"The study was conducted in clinical settings (emergency care and outpatient care settings), which meets the criterion of being conducted in a clinical or community setting.",no,"The study evaluates RT-PCR tests (both point-of-care and laboratory-based), not rapid antigen tests, which fails to meet the criterion of evaluating rapid antigen tests.",no,"While the study does use RT-PCR as a reference standard, it's comparing two RT-PCR systems rather than evaluating rapid antigen tests, which fails to meet the criterion of evaluating point-of-care rapid antigen tests for SARS-CoV-2 using RT-PCR as the reference standard.",Exclude,"The study focuses on RT-PCR testing methodology, which fundamentally differs from the required rapid antigen test evaluation, rendering it ineligible for inclusion. While the research demonstrates robust diagnostic accuracy and appropriate clinical setting, the core test type does not align with the specified screening criteria. Consequently, the study cannot be considered for the systematic review due to its methodological mismatch.",0.1
COVID-19 Antigen Results Correlate with the Quantity of Replication-Competent SARS-CoV-2 in a Cross-Sectional Study of Ambulatory Adults during the Delta Wave,"Y. Tu, Christopher Green, Linhui Hao, A. Greninger, J. Morton, Heather A. Sights, M. Gale, P. Drain",10.1128/spectrum.00064-23,https://doi.org/10.1128/spectrum.00064-23,Microbiology spectrum,4,2023,yes,"The study explicitly states it includes ""adult participants"" and there's no mention of including children or pregnant women.",yes,"This is a primary diagnostic accuracy study, specifically described as a ""cross-sectional diagnostic study"" with original data collection from 626 participants.",yes,"The study clearly reports rapid antigen test results separately, with specific sensitivity values for both asymptomatic (63.6%) and symptomatic (91.0%) participants.",yes,"The study reports quantifiable diagnostic accuracy data, including sensitivity (63.6% and 91.0% for different groups) and positive/negative agreement rates.",yes,"The study was conducted in an ambulatory (outpatient) clinical setting, which meets the criterion for clinical setting.",yes,"The study specifically evaluates rapid antigen tests, comparing them with RT-PCR and viral culture.",yes,The study uses RT-PCR as a reference standard and evaluates point-of-care rapid antigen tests for SARS-CoV-2. This is clearly stated in the methodology.,Include,"A comprehensive diagnostic study of 626 adult participants examining rapid antigen tests for SARS-CoV-2, utilizing RT-PCR as a reference standard and reporting detailed diagnostic accuracy metrics across symptomatic and asymptomatic populations. The research meets all screening criteria, including clear data reporting, appropriate study design, adult-only population, and quantifiable outcome measures in a clinical setting. Methodologically robust, the study provides nuanced insights into rapid antigen test performance and potential infectiousness indicators.",4.9
"Comparative evaluation of RT-PCR and antigen-based rapid diagnostic tests (Ag-RDTs) for SARS-CoV-2 detection: performance, variant specificity, and clinical implications","F. Aboagye, Lawrence Annison, H. Hackman, Maame E. Acquah, Y. Ashong, Isaac Owusu-Frimpong, Bill C Egyam, Sharon Annison, George Osei-Adjei, Samuel Antwi-Baffour",10.1128/spectrum.00073-24,https://doi.org/10.1128/spectrum.00073-24,Microbiology spectrum,0,2024,maybe,"The abstract does not explicitly state the age range of participants. While it mentions ""asymptomatic patients,"" there's no clear indication whether children were included or excluded.",yes,This is a primary diagnostic accuracy study comparing RT-PCR with two types of rapid antigen tests (FIA and LFIA) using original data from 268 samples.,yes,"The study clearly reports rapid antigen test results (FIA and LFIA) separately from RT-PCR results, with detailed performance metrics for each test type.",yes,"The study reports detailed diagnostic accuracy data including sensitivity, specificity, PPV, NPV, and overall accuracy for both antigen tests.",yes,"While not explicitly stated, the context suggests a clinical setting given the comparison with RT-PCR and the analysis of viral loads.",yes,The study specifically evaluates rapid antigen tests (FIA and LFIA) for SARS-CoV-2 detection.,yes,The study uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests (FIA and LFIA).,Include,"A comprehensive diagnostic accuracy study comparing rapid antigen tests (FIA and LFIA) with RT-PCR for SARS-CoV-2 detection, reporting detailed performance metrics across multiple variants and patient populations. The research provides robust data on test sensitivity, specificity, and predictive values, with strong methodological rigor and clinical relevance. The only notable uncertainty relates to the explicit confirmation of participant age range, which may require full text review.",4.6
Diagnostic performance of the fully automated Roche Elecsys SARS-CoV-2 antigen electrochemiluminescence immunoassay: a pooled analysis,"G. Lippi, B. Henry, K. Adeli",10.1515/cclm-2022-0053,https://doi.org/10.1515/cclm-2022-0053,Clinical Chemistry and Laboratory Medicine,20,2022,maybe,The abstract does not specify the age range of participants or whether data for adults was reported separately. This is a significant uncertainty.,yes,"This is a meta-analysis/pooled analysis of diagnostic accuracy studies, which meets this criterion as it reports original data from multiple studies.",maybe,"The study focuses specifically on Roche Elecsys SARS-CoV-2 antigen ECLIA test results, which are reported separately. However, this is a pooled analysis of multiple studies, not primary data reporting.",yes,"The study clearly reports quantifiable diagnostic accuracy data, including sensitivity (0.68), specificity (0.99), and AUC (0.958).",yes,"The abstract mentions ""mass screening"" but doesn't explicitly specify the clinical or community setting. However, given the nature of the test (laboratory-based), it's likely in a clinical setting.",no,"The study evaluates an antigen test (Roche Elecsys SARS-CoV-2 antigen ECLIA), but this is a laboratory-based automated test rather than a point-of-care rapid antigen test. This is a critical mismatch with the criteria.",no,"While the study uses molecular diagnostic techniques (presumably RT-PCR) as the reference standard, the test being evaluated is not a point-of-care rapid antigen test but rather a laboratory-based automated test.",Include,"A laboratory-based automated antigen test was evaluated through a meta-analysis, which differs from the specified point-of-care rapid antigen test criteria. While the study provides comprehensive diagnostic accuracy data, key methodological differences and lack of clarity on participant age groups prevent full alignment with the screening requirements. The fundamental mismatch in test type represents a critical deviation from the intended screening parameters.",2.5
SARS‐CoV‐2 rapid antigen test: Fast‐safe or dangerous? An analysis in the emergency department of an university hospital,"C. Holzner, Dirk Pabst, O. Anastasiou, U. Dittmer, R. Manegold, J. Risse, D. Fistera, C. Kill, M. Falk",10.1002/jmv.27033,https://doi.org/10.1002/jmv.27033,Journal of Medical Virology,20,2021,maybe,"The abstract doesn't explicitly state the age range of participants. While it's likely these are adults given the clinical setting, we cannot be certain without more information.",yes,"This is a primary diagnostic accuracy study comparing AgPOCT results with PCR testing in 2,375 patients.",yes,"The study clearly reports rapid antigen test (AgPOCT) results separately from PCR results, with specific sensitivity and specificity values provided.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (68.9% overall, 80.5% for Ct ≤30) and specificity (99.6%).",yes,"While not explicitly stated, the context suggests a clinical setting given the systematic testing of 2,375 patients with PCR confirmation.",yes,The study specifically evaluates point-of-care antigen tests (AgPOCT) for SARS-CoV-2.,yes,The study uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests.,Include,"A comprehensive diagnostic accuracy study of rapid antigen tests for SARS-CoV-2 using RT-PCR as the reference standard, with detailed reporting of sensitivity and specificity across symptomatic and asymptomatic patients. The research provides robust quantitative data on test performance, though uncertainty exists regarding the precise age range of participants. Overall, the study meets most screening criteria with high methodological rigor and clear reporting of diagnostic test characteristics.",4.6
Clinitest rapid COVID-19 antigen test for the diagnosis of SARS-CoV-2 infection: A multicenter evaluation study,"P. Merino-Amador, Patricia González-Donapetry, Mercedes Domínguez-Fernández, F. González-Romo, M. Sánchez-Castellano, Alejandro Seoane-Estévez, A. Delgado-Iribarren, Julio García, G. Bou, M. Cuenca‐Estrella, Jesús Oteo-Iglesias",10.1016/j.jcv.2021.104961,https://doi.org/10.1016/j.jcv.2021.104961,Journal of Clinical Virology,15,2021,maybe,"The abstract doesn't explicitly state the age range of participants. While it mentions ""individuals with clinical symptoms or epidemiological criteria,"" it doesn't specify if children were excluded or if data was reported separately for adults.",yes,"This is a primary diagnostic accuracy study, specifically described as a ""prospective multicenter study"" evaluating test performance.",yes,The study clearly reports rapid antigen test results (ClinitestRT) separately from RT-PCR results.,yes,"The study reports clear diagnostic accuracy data, including sensitivity (93.3%), specificity (99.2%), and agreement between tests (96.7%).",yes,"The study was conducted in ""three Spanish university hospitals,"" which qualifies as a clinical setting.",yes,The study specifically evaluates a rapid antigen test (Clinitest Rapid COVID-19 Antigen Test) for SARS-CoV-2.,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A prospective multicenter diagnostic accuracy study evaluating a rapid antigen test for SARS-CoV-2, with comprehensive reporting of sensitivity, specificity, and test performance across multiple clinical settings. The research meets most screening criteria, with robust methodology and clear outcome measures, though participant age range remains slightly uncertain. Overall, the study provides a rigorous assessment of point-of-care COVID-19 diagnostic testing.",4.6
Comparative Performance of a Rapid SARSCoV-2 Antigen Test with RT-PCR for the Diagnosis of COVID-19,"Elizabeth-Barbara Tatsi, Spyridon Mparmpas, Vasileios Sideris, Filippos Filippatos, V. Syriopoulou, A. Michos, Researcher C Tatsi Elizabeth-Barbara",10.29011/2577-1515.100231,https://doi.org/10.29011/2577-1515.100231,Infectious Diseases Diagnosis &amp; Treatment,0,2023,maybe,"The abstract mentions ""non-hospitalized adults and children"" and provides a median age of 36.6 years. However, it doesn't explicitly state whether the data for adults is reported separately from children, creating some uncertainty.",yes,"This is a primary diagnostic accuracy study, specifically described as a ""prospective cohort study"" evaluating diagnostic precision.",yes,"The study clearly reports rapid antigen test results (DyonCovid-Ag) separately from RT-qPCR results, with specific numbers provided for both tests.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (96.1%), specificity (100%), and accuracy (99.4%) with confidence intervals.",yes,The study is conducted in a clinical setting with non-hospitalized patients.,yes,The study specifically evaluates a rapid antigen test (DyonCovid-Ag) for SARS-CoV-2.,yes,The study uses RT-qPCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A prospective diagnostic accuracy study evaluating a rapid antigen test for SARS-CoV-2 using RT-qPCR as the reference standard, with comprehensive reporting of sensitivity, specificity, and accuracy measures. The research involves non-hospitalized participants with a median age of 36.6 years, demonstrating high diagnostic performance in a clinical setting. The only minor uncertainty relates to the potential mixing of adult and pediatric data, though the overall methodology appears robust.",4.6
Evaluation of Five Commercial SARS-CoV-2 Antigen Tests in a Clinical Setting,"T. Seitz, Benno Lickefett, M. Traugott, E. Pawelka, M. Karolyi, S. Baumgartner, S. Jansen-Skoupy, J. Atamaniuk, R. Fritsche-Polanz, Johannes Asenbaum, C. Wenisch, M. Födinger, A. Zoufaly",10.1007/s11606-022-07448-x,https://doi.org/10.1007/s11606-022-07448-x,Journal of general internal medicine,7,2022,maybe,"The abstract doesn't explicitly state the age range of participants. It mentions ""patients admitted to hospital due to COVID-19"" but doesn't specify if they're adults or if pediatric data is separated.",yes,This is a primary diagnostic accuracy study evaluating multiple rapid antigen tests against RT-PCR as the reference standard.,yes,"The study clearly reports rapid antigen test results separately, comparing five different AgTs with specific sensitivity values reported for each.",yes,"The study reports quantifiable diagnostic accuracy data, specifically sensitivity values ranging from 64.9 to 91.7% for different tests.",yes,The study was conducted in a clinical setting (hospital) with patients admitted due to COVID-19.,yes,"The study specifically evaluates rapid antigen tests (RATs), though it also includes one CLIA test. The RAT results are reported separately.",yes,The study evaluates point-of-care rapid antigen tests for SARS-CoV-2 using RT-PCR as the reference standard.,Include,"A comprehensive diagnostic accuracy study evaluating multiple rapid antigen tests for SARS-CoV-2 using RT-PCR as a reference standard, conducted in a hospital setting with quantifiable sensitivity measurements. The research meets most screening criteria, with only minor uncertainty regarding participant age range, and provides detailed performance characteristics of point-of-care antigen tests across different cycle threshold values.",4.6
PERFORMANCE EVALUATION OF A SARS-COV-2 RAPID ANTIGENTEST: TEST PERFORMANCE IN THE COMMUNITY IN THE NETHERLANDS,"Nathalie van der Moeren, V. Zwart, E. Lodder, W. Bijllaardt, Harald Van Esch, J. Stohr, J. Pot, I. Welschen, P. V. Mechelen, Suzan Pas, J. Kluytmans",10.1101/2020.10.19.20215202,https://doi.org/10.1101/2020.10.19.20215202,medRxiv,32,2020,yes,The study explicitly includes only adults (>18 years) and reports their data separately.,yes,"This is a primary diagnostic accuracy study (""Prospective performance evaluation study"") with original data collection and analysis.",yes,The study clearly reports rapid antigen test results (BD Veritor System) separately from RT-PCR results.,yes,The study reports clear diagnostic accuracy measures including sensitivity (80.7%) and specificity (100%) with confidence intervals.,yes,The study was conducted in a clinical setting (Municipal Health Service COVID-19 test centres).,yes,The study specifically evaluates a rapid antigen test (BD Veritor System for Rapid Detection of SARS-CoV-2).,yes,The study evaluates a point-of-care rapid antigen test and uses RT-PCR (qRT-PCR) as the reference standard.,Include,"A prospective diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 among symptomatic adults, conducted in a clinical setting, comprehensively reports diagnostic performance using RT-PCR as the reference standard. The research meticulously evaluates test sensitivity and specificity across different viral load categories and symptom intervals, providing robust quantitative data on the diagnostic accuracy of the BD Veritor System. All key screening criteria were met, including clear methodology, appropriate population selection, and detailed outcome reporting.",4.9
Performance of a SARS-CoV-2 antigen rapid immunoassay in patients admitted to the emergency department,"Christian Leli, L. Matteo, Franca Gotta, E. Cornaglia, D. Vay, Iacopo Megna, Rosalia Emanuela Pensato, R. Boverio, A. Rocchetti",10.1016/j.ijid.2021.07.043,https://doi.org/10.1016/j.ijid.2021.07.043,International Journal of Infectious Diseases,21,2021,maybe,"The abstract mentions a median age of 71 years, suggesting adult participants, but it doesn't explicitly state whether all participants were ≥18 years or if pediatric data was excluded.",yes,This is a primary diagnostic accuracy study comparing rapid antigen tests with a reference standard.,yes,"The study clearly reports rapid antigen test results separately, with specific performance metrics provided.",yes,"The study reports comprehensive diagnostic accuracy data including sensitivity, specificity, PPV, NPV, and likelihood ratios with confidence intervals.",yes,"The study was conducted in an emergency department (ED) setting, which qualifies as a clinical setting.",yes,The study specifically evaluates a microfluidic rapid antigen test.,yes,"The study uses a ""reference molecular assay"" (presumably RT-PCR, though not explicitly stated) as the reference standard for a point-of-care rapid antigen test.",Include,"A diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 in an emergency department setting, reporting comprehensive performance metrics across multiple diagnostic parameters. The research evaluated a microfluidic rapid antigen test against a molecular reference standard, with participants predominantly representing an adult population. While most screening criteria were definitively met, minor uncertainties existed regarding explicit age range and precise reference standard specification.",4.6
Analytical performances of the point-of-care SIENNA™ COVID-19 Antigen Rapid Test for the detection of SARS-CoV-2 nucleocapsid protein in nasopharyngeal swabs: A prospective evaluation during the COVID-19 second wave in France,"Ralph-Sydney Mboumba Bouassa, D. Veyer, H. Péré, L. Bélec",10.1016/j.ijid.2021.03.051,https://doi.org/10.1016/j.ijid.2021.03.051,International Journal of Infectious Diseases,34,2021,maybe,"The abstract only mentions ""hospitalized patients"" without specifying age ranges, creating uncertainty about whether the study includes or separates data for adults ≥18 years.",yes,The abstract indicates this is a primary diagnostic accuracy study evaluating the analytical performance of an antigen test against RT-PCR.,maybe,"The abstract indicates this is a focused study on a specific antigen test (SIENNA™ COVID-19 Antigen Rapid Test), suggesting results are reported separately. However, this is somewhat implicit rather than explicitly stated.",maybe,"The abstract mentions ""analytical performances"" but doesn't explicitly state whether sensitivity, specificity, or other accuracy measures are reported, creating some uncertainty.",yes,The study is conducted in a clinical setting (hospitalized patients).,yes,The study clearly evaluates a rapid antigen test (SIENNA™ COVID-19 Antigen Rapid Test) targeting SARS-CoV-2 N nucleocapsid protein.,yes,The study explicitly uses RT-PCR (rRT-PCR) as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A diagnostic accuracy study evaluating a rapid antigen test for SARS-CoV-2 using RT-PCR as a reference standard in hospitalized patients demonstrates strong alignment with most screening criteria. Uncertainties exist regarding participant age range and specific diagnostic accuracy measures, suggesting a need for full-text review to confirm complete compliance with screening requirements.",4
Analysis of the diagnostic accuracy of rapid antigenic tests for detection of SARS-CoV-2 in hospital outbreak situation,"J. Aranaz-Andres, Abelardo Claudio Fernández Chávez, Amaranta McGee Laso, Melanie Abreu, Paloma Moreno Núñez, J. Galán, Rafael Cantón Moreno",10.1007/s10096-021-04346-8,https://doi.org/10.1007/s10096-021-04346-8,European Journal of Clinical Microbiology and Infectious Diseases,2,2021,maybe,"The abstract doesn't explicitly state the age range of participants. However, since it's conducted in hospital settings with no mention of pediatric or pregnant populations, it likely includes adults, but this isn't definitively confirmed.",yes,"This is a primary diagnostic accuracy study, specifically described as an ""observational, cross-sectional study"" evaluating diagnostic performance.",yes,"The study clearly reports rapid antigen test results (Panbio COVID-19 AG RADT) separately from RT-PCR results, with detailed comparison of the two.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (83.3%), specificity (99.8%), PPV (96.2%), and NPV (99%).",yes,The study is conducted in a clinical setting (Ramón y Cajal Hospital) during hospital outbreaks.,yes,The study specifically evaluates a rapid antigen test (Panbio COVID-19 AG RADT) and not antibody tests or other diagnostics.,yes,The study uses RT-PCR (TaqPath COVID-19 test) as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A comprehensive diagnostic accuracy study of rapid antigen testing for COVID-19 in a hospital setting, utilizing RT-PCR as a reference standard and reporting detailed sensitivity, specificity, and predictive values. The research meets most screening criteria, with robust methodology and clear reporting of diagnostic performance, though participant age range remains slightly uncertain. The study provides valuable insights into rapid antigen test effectiveness during hospital outbreaks.",4.6
SARS‐CoV‐2 rapid antigen test in comparison to RT‐PCR targeting different genes: A real‐life evaluation among unselected patients in a regional hospital of Italy,"D. Treggiari, C. Piubelli, S. Caldrer, M. Mistretta, Andrea Ragusa, Pierantonio Orza, Barbara Pajola, Donatella Piccoli, A. Conti, Carlo Lorenzi, Valentina Serafini, Marco Boni, F. Perandin",10.1002/jmv.27378,https://doi.org/10.1002/jmv.27378,Journal of Medical Virology,20,2021,maybe,"The abstract mentions ""unselected patients"" but doesn't specify age ranges, creating some uncertainty, though hospital admission typically implies adult patients.",yes,This is a primary diagnostic accuracy study comparing RAD test results with RT-PCR in a clinical setting.,yes,"The study clearly reports rapid antigen test (Panbio RAD) results separately from RT-PCR results, with specific discordance data provided.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (66.82%), specificity (99.89%), PPV (97.87%), and NPV (97.62%).",yes,The study was conducted in a clinical setting (IRCCS Sacro Cuore Don Calabria Hospital).,yes,The study specifically evaluates a rapid antigen detection (RAD) test for SARS-CoV-2.,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2, comparing results against RT-PCR in a hospital setting, with robust reporting of sensitivity, specificity, and predictive values. The research meets most screening criteria, with only minor uncertainty regarding participant age range, and provides detailed insights into test performance across different viral load conditions.",4.6
