"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","URLs","DOI","Notes"
"Journal Article","Hengartner MP,Passalacqua S,Heim G,Andreae A,Rossler W,von Wyl A","The post-discharge network coordination programme: a randomized controlled trial to evaluate the efficacy of an intervention aimed at reducing rehospitalizations and improving mental health","Frontiers in Psychiatry","Frontiers in Psychiatry","2016","7","","27","","","2016","http://dx.doi.org/10.3389/fpsyt.2016.00027","10.3389/fpsyt.2016.00027","Ineligible intervention"
"Journal Article","Hernandez C,Alonso A,Garcia-Aymerich J,Serra I,Marti D,Rodriguez-Roisin R","Effectiveness of community-based integrated care in frail COPD patients: a randomised controlled trial","NPJ Primary Care Respiratory Medicine","NPJ Primary Care Respiratory Medicine","2015","25","","15022","","","2015","http://dx.doi.org/10.1038/npjpcrm.2015.22","10.1038/npjpcrm.2015.22","Ineligible intervention"
"Journal Article","Hughes SL,Weaver FM,Giobbie-Hurder A,Manheim L,Henderson W,Kubal JD","Effectiveness of team-managed home-based primary care: a randomized multicenter trial","JAMA","JAMA","2000","284","22","2877-2885","","","2000","","","Ineligible intervention"
"Journal Article","Ko FW,Cheung NK,Rainer TH,Lum C,Wong I,Hui DS","Comprehensive care programme for patients with chronic obstructive pulmonary disease: a randomised controlled trial","Thorax","Thorax","2017","72","2","122-128","","","2017","http://dx.doi.org/10.1136/thoraxjnl-2016-208396","10.1136/thoraxjnl-2016-208396","Ineligible intervention"
"Journal Article","Koehler BE,Richter KM,Youngblood L,Cohen BA,Prengler ID,Cheng D","Reduction of 30-day postdischarge hospital readmission or emergency department (ED) visit rates in high-risk elderly medical patients through delivery of a targeted care bundle","Journal of Hospital Medicine","Journal of Hospital Medicine","2009","4","4","211-218","","","2009","http://dx.doi.org/10.1002/jhm.427","10.1002/jhm.427","Ineligible intervention"
"Journal Article","LaBedz SL,Prieto-Centurion V,Mutso A,Basu S,Bracken NE,Calhoun EA","Pragmatic clinical trial to improve patient experience among adults during transitions from hospital to home: the PArTNER study","Journal of General Internal Medicine","Journal of General Internal Medicine","2022","37","16","4103-4111","","","2022","http://dx.doi.org/10.1007/s11606-022-07461-0","10.1007/s11606-022-07461-0","Care navigator - not a clinician"
"Journal Article","Laramee AS,Levinsky SK,Sargent J,Ross R,Callas P","Case management in a heterogeneous congestive heart failure population: a randomized controlled trial","Archives of Internal Medicine","Archives of Internal Medicine","2003","163","7","809-817","","","2003","","","Ineligible intervention"
"Journal Article","Lashley C,Taylor SP,Brown R,Burke L,Chou SH,Cunningham K","Structured, proactive care coordination versus usual care for Improving Morbidity during Post-Acute Care Transitions for Sepsis (IMPACTS): a pragmatic, randomized controlled trial","Trials","Trials","2019","20","1","660","","","2019","http://dx.doi.org/10.1186/s13063-019-3792-7","10.1186/s13063-019-3792-7","Protocol or abstract without results"
"Journal Article","Lasser KE,Kenst KS,Quintiliani LM,Wiener RS,Murillo J,Pbert L","Patient navigation to promote smoking cessation among low-income primary care patients: a pilot randomized controlled trial","Journal of Ethnicity in Substance Abuse","Journal of Ethnicity in Substance Abuse","2013","12","4","374-390","","","2013","http://dx.doi.org/10.1080/15332640.2013.819311","10.1080/15332640.2013.819311","Ineligible outcomes"
"Book","Leavitt MA","The Effect of the Heart Failure Nurse Navigator on 30-Day Hospital Readmissions of Older Adults [Dissertation]","","","2017","","","","Florida Atlantic University","Boca Raton (FL)","2017","","","Care navigator - delivering clinical care"
"Journal Article","Leung AC,Yau DC,Liu CP,Yeoh CS,Chui TY,Chi I","Reducing utilisation of hospital services by case management: a randomised controlled trial","Australian Health Review","Australian Health Review","2004","28","1","79-86","","","2004","","","Care navigator - delivering clinical care"
"Journal Article","Li CY,Lee CY,Chang Lee SN,Liao WC,Chen YJ","The effectiveness of case management for patients with heart filure","Macau Journal of Nursing","Macau Journal of Nursing","2013","12","1","35-41","","","2013","","","Ineligible intervention"
"Journal Article","Li CY,Lee CY,Chang Lee SN,Liao WC,Chen YJ","The effectiveness of case management for patients with heart failure","Macau Journal of Nursing","Macau Journal of Nursing","2013","12","1","35-41","","","2013","","","Ineligible intervention"
"Journal Article","Liang HY,Hann LL,Yu CC,Mei WF,Yu S","Effectiveness of a nurse‐led tele‐homecare program for patients with multiple chronic illnesses and a high risk for readmission: a randomized controlled trial","Journal of Nursing Scholarship","Journal of Nursing Scholarship","2021","53","2","161-170","","","2021","http://dx.doi.org/10.1111/jnu.12622","10.1111/jnu.12622","Ineligible intervention"
"Journal Article","Mann J,Thompson F,McDermott R,Esterman A,Strivens E","Impact of an integrated community-based model of care for older people with complex conditions on hospital emergency presentations and admissions: a step-wedged cluster randomized trial","BMC Health Services Research","BMC Health Services Research","2021","21","1","701","","","2021","http://dx.doi.org/10.1186/s12913-021-06668-x","10.1186/s12913-021-06668-x","Ineligible intervention"
"Journal Article","Meisinger C,Stollenwerk B,Kirchberger I,Seidl H,Wende R,Kuch B","Effects of a nurse-based case management compared to usual care among aged patients with myocardial infarction: results from the randomized controlled KORINNA study","BMC Geriatrics","BMC Geriatrics","2013","13","","115","","","2013","http://dx.doi.org/10.1186/1471-2318-13-115","10.1186/1471-2318-13-115","Care navigator - delivering clinical care"
"Journal Article","Metsch LR,Feaster DJ,Gooden L,Matheson T,Stitzer M,Das M","Effect of patient navigation with or without financial incentives on viral suppression among hospitalized patients with HIV infection and substance use: a randomized clinical trial","JAMA","JAMA","2016","316","2","156-170","","","2016","http://dx.doi.org/10.1001/jama.2016.8914","10.1001/jama.2016.8914","Ineligible intervention"
"Journal Article","Mizukawa M,Moriyama M,Yamamoto H,Rahman MM,Naka M,Kitagawa T","Nurse-led collaborative management using telemonitoring improves quality of life and prevention of rehospitalization in patients with heart failure","International Heart Journal","International Heart Journal","2019","60","6","1293-1302","","","2019","http://dx.doi.org/10.1536/ihj.19-313","10.1536/ihj.19-313","Ineligible intervention"
"Journal Article","Moschetti K,Iglesias K,Baggio S,Velonaki V-S,Ruggeri O,Hugli O","Potential health-care service utilization substitution effects induced by case management for emergency department frequent users","Journal of General Internal Medicine","Journal of General Internal Medicine","2015","30","","S230","","","2015","","","Ineligible intervention"
"Journal Article","Navaneethan SD,Jolly SE,Schold JD,Arrigain S,Nakhoul G,Konig V","Pragmatic randomized, controlled trial of patient navigators and enhanced personal health records in CKD","Clinical Journal of the American Society of Nephrology","Clinical Journal of the American Society of Nephrology","2017","12","9","1418-1427","","","2017","http://dx.doi.org/10.2215/CJN.02100217","10.2215/CJN.02100217","Ineligible intervention"
"Journal Article","Naylor,McCauley KM","The effects of a discharge planning and home follow-up intervention on elders hospitalized with common medical and surgical cardiac conditions","Journal of Cardiovascular Nursing","Journal of Cardiovascular Nursing","1999","14","1","44‐54","","","1999","http://dx.doi.org/10.1097/00005082-199910000-00006","10.1097/00005082-199910000-00006","Care navigator - delivering clinical care"
"Journal Article","Naylor,Hirschman KB,McCauley K,Shaid EC,Hanlon AL,Whitehouse CR","Mirror-TCM: multisite replication of a randomized controlled trial – transitional care model","Contemporary Clinical Trials","Contemporary Clinical Trials","2022","112","","106620","","","2022","http://dx.doi.org/10.1016/j.cct.2021.106620","10.1016/j.cct.2021.106620","Care navigator - delivering clinical care"
"Journal Article","Occelli P,Touzet S,Rabilloud M,Ganne C,Poupon Bourdy S","Impact of a transition nurse program on the prevention of thirty-day hospital readmissions of elderly patients discharged from short-stay units: study protocol of the PROUST stepped-wedge cluster randomised trial","BMC Geriatrics","BMC Geriatrics","2016","16","","57","","","2016","http://dx.doi.org/10.1186/s12877-016-0233-2","10.1186/s12877-016-0233-2","Protocol or abstract without results"
"Journal Article","Okin RL,Boccellari A,Azocar F,Shumway M,O'Brien K,Gelb A","The effects of clinical case management of hospital service use among ED frequent users","American Journal of Emergency Medicine","American Journal of Emergency Medicine","2000","18","5","603‐8","","","2000","","","Ineligible intervention"
"Book","Oliva NL","The Impact of RN Case Management on Inpatient and ED Utilization in a Chronically Ill, Older Adult, Community-Dwelling Population [Dissertation]","","","2008","","","","University of California","San Francisco","2008","","","Full text not available"
"Journal Article","Pantell MS,Hessler D,Long D,Alqassari M,Schudel C,Laves E","Effects of in-person navigation to address family social needs on child health care utilization: a randomized clinical trial","JAMA Network Open","JAMA Network Open","2020","3","6","e206445","","","2020","http://dx.doi.org/10.1001/jamanetworkopen.2020.6445","10.1001/jamanetworkopen.2020.6445","Ineligible intervention"
"Journal Article","Parsons M,Parsons J,Rouse P,Pillai A,Mathieson S,Parsons R","Supported discharge teams for older people in hospital acute care: a randomised controlled trial","Age and Ageing","Age and Ageing","2018","47","2","288-294","","","2018","http://dx.doi.org/10.1093/ageing/afx169","10.1093/ageing/afx169","Ineligible intervention"
"Journal Article","Patricia J,Verweij L,Buurman B,Terbraak M,Daliri S,Latour C","Effect of nurse-coordinated transitional care in high risk older cardiac patients: the cardiac care bridge randomized clinical trial","European Geriatric Medicine","European Geriatric Medicine","2020","11","SUPPL 1","S115","","","2020","http://dx.doi.org/10.1007/s41999-020-00428-6","10.1007/s41999-020-00428-6","Conference presentation"
"Journal Article","Peikes D,Chen A,Schore J,Brown R","Effects of care coordination on hospitalization, quality of care, and health care expenditures among Medicare beneficiaries: 15 randomized trials","JAMA","JAMA","2009","301","6","603-618","","","2009","http://dx.doi.org/10.1001/jama.2009.126","10.1001/jama.2009.126","Ineligible study design"
"Journal Article","Pevnick JM,Keller MS,Kennelty KA,Nuckols TK,Ko EM,Amer K","The Pharmacist Discharge Care (PHARM-DC) study: a multicenter RCT of pharmacist-directed transitional care to reduce post-hospitalization utilization","Contemporary Clinical Trials","Contemporary Clinical Trials","2021","106","","106419","","","2021","http://dx.doi.org/10.1016/j.cct.2021.106419","10.1016/j.cct.2021.106419","Protocol or abstract without results"
"Journal Article","Plant NA,Kelly PJ,Leeder SR,D'Souza M,Mallitt KA,Usherwood T","Coordinated care versus standard care in hospital admissions of people with chronic illness: a randomised controlled trial","Medical Journal of Australia","Medical Journal of Australia","2015","203","1","33-38","","","2015","","","Ineligible setting"
"Journal Article","Poole PJ,Chase B,Frankel A,Black PN","Case management may reduce length of hospital stay in patients with recurrent admissions for chronic obstructive pulmonary disease","Respirology","Respirology","2001","6","1","37-42","","","2001","","","Ineligible intervention"
"Journal Article","Pusateri A,Litzenberg K,Griffiths C,Hayes C,Gnyawali B,Manious M","Randomized intervention and outpatient follow-up lowers 30-d readmissions for patients with hepatic encephalopathy, decompensated cirrhosis","World Journal of Hepatology","World Journal of Hepatology","2023","15","6","826‐40","","","2023","http://dx.doi.org/10.4254/wjh.v15.i6.826","10.4254/wjh.v15.i6.826","Care navigator - delivering clinical care"
"Journal Article","Raftery JP,Addington-Hall JM,MacDonald LD,Anderson HR,Bland JM,Chamberlain J","A randomized controlled trial of the cost-effectiveness of a district co-ordinating service for terminally ill cancer patients","Palliative Medicine","Palliative Medicine","1996","10","2","151-161","","","1996","","","Ineligible outcomes"
"Journal Article","Rea H,McAuley S,Stewart A,Lamont C,Roseman P,Didsbury P","A chronic disease management programme can reduce days in hospital for patients with chronic obstructive pulmonary disease","Internal Medicine Journal","Internal Medicine Journal","2004","34","11","608-614","","","2004","","","Ineligible intervention"
"Journal Article","Rea HH,Kenealy TW,Rolland T-M,Naumann C,Hou T,Sheridan N","Enabling integrated health and care","International Journal of Integrated Care","International Journal of Integrated Care","2016","16","6","1-3","","","2016","http://dx.doi.org/10.5334/ijic.2674","10.5334/ijic.2674","Conference presentation"
"Journal Article","Reuland DS,Brenner AT,Hoffman R,McWilliams A,Rhyne RL,Getrich C","Effect of combined patient decision aid and patient navigation vs usual care for colorectal cancer screening in a vulnerable patient population: a randomized clinical trial","JAMA Internal Medicine","JAMA Internal Medicine","2017","177","7","967-974","","","2017","http://dx.doi.org/10.1001/jamainternmed.2017.1294","10.1001/jamainternmed.2017.1294","Ineligible outcomes"
"Journal Article","Rice KL,Dewan N,Bloomfield HE,Grill J,Schult TM,Nelson DB","Disease management program for chronic obstructive pulmonary disease: a randomized controlled trial","American Journal of Respiratory and Critical Care Medicine","American Journal of Respiratory and Critical Care Medicine","2010","182","7","890-896","","","2010","http://dx.doi.org/10.1164/rccm.200910-1579OC","10.1164/rccm.200910-1579OC","Ineligible intervention"
"Journal Article","Rich MW,Vinson JM,Sperry JC,Shah AS,Spinner LR,Chung MK","Prevention of readmission in elderly patients with congestive heart failure: results of a prospective, randomized pilot study","Journal of General Internal Medicine","Journal of General Internal Medicine","1993","8","11","585-590","","","1993","","","Care navigator - delivering clinical care"
"Journal Article","Riegel B,Carlson B,Kopp Z,LePetri B,Glaser D,Unger A","Effect of a standardized nurse case-management telephone intervention on resource use in patients with chronic heart failure","Archives of Internal Medicine","Archives of Internal Medicine","2002","162","6","705-712","","","2002","","","Ineligible intervention"
"Journal Article","Riegel B,Carlson B,Glaser D,Romero T","Randomized controlled trial of telephone case management in Hispanics of Mexican origin with heart failure","Journal of Cardiac Failure","Journal of Cardiac Failure","2006","12","3","211-219","","","2006","http://dx.doi.org/10.1016/j.cardfail.2006.01.005","10.1016/j.cardfail.2006.01.005","Ineligible intervention"
"Journal Article","Rose L,Istanboulian L,Carriere L,Price A,Lee L,Rezaie S","Program of integrated care for patients with chronic obstructive pulmonary disease and multiple comorbidities (PIC COPD+): a randomized controlled trial","American Journal of Respiratory and Critical Care Medicine","American Journal of Respiratory and Critical Care Medicine","2018","51","1","1701567","","","2018","http://dx.doi.org/10.1183/13993003.01567-2017","10.1183/13993003.01567-2017","Care navigator - delivering clinical care"
"Journal Article","Rubin DJ,Watts S,Deak A,Vaz CL,Tanner S,Recco D","A pilot randomized controlled trial to reduce hospital readmission risk of patients with diabetes: 90-day outcomes","Diabetes","Diabetes","2020","69","Supplement_1","151-LB","","","2020","http://dx.doi.org/10.2337/db20-151-LB","10.2337/db20-151-LB","Ineligible intervention"
"Journal Article","Saltbaek L,Bidstrup PE,Karlsen RV,Hoeg BL,Horsboel TA,Belmonte F","Nurse-led individualized follow-up versus regular physician-led visits after early breast cancer (MyHealth): a phase III randomized, controlled trial","Journal of Clinical Oncology","Journal of Clinical Oncology","2024","42","17","2038-2049","","","2024","http://dx.doi.org/10.1200/JCO.23.01447","10.1200/JCO.23.01447","Care navigator delivering clinical care"
"Journal Article","Schnipper JL,Samal L,Nolido N,Yoon C,Dalal AK,Magny-Normilus C","The effects of a multifaceted intervention to improve care transitions within an accountable care organization: results of a stepped-wedge cluster-randomized trial","Journal of Hospital Medicine","Journal of Hospital Medicine","2021","16","1","15-22","","","2021","http://dx.doi.org/10.12788/jhm.3513","10.12788/jhm.3513","Ineligible intervention"
"Journal Article","Shah S,Reed V,Arzu I","Nurse navigators in early cancer care: a randomized, controlled trial","Breast Diseases","Breast Diseases","2015","26","1","31-32","","","2015","http://dx.doi.org/10.1016/j.breastdis.2015.01.007","10.1016/j.breastdis.2015.01.007","Ineligible patient population"
"Journal Article","Shumway M,Boccellari A,O'Brien K,Okin RL","Cost-effectiveness of clinical case management for ED frequent users: results of a randomized trial","American Journal of Emergency Medicine","American Journal of Emergency Medicine","2008","26","2","155-164","","","2008","http://dx.doi.org/10.1016/j.ajem.2007.04.021","10.1016/j.ajem.2007.04.021","Ineligible intervention"
"Journal Article","Snethen G,McCormick BP,Nagata S,Salzer MS","Independence through community access and navigation: a supported leisure intervention for individuals with negative symptoms","Psychiatric Rehabilitation Journal","Psychiatric Rehabilitation Journal","2024","47","2","106-116","","","2024","http://dx.doi.org/10.1037/prj0000593","10.1037/prj0000593","Ineligible intervention"
"Journal Article","Somsiri V,Asdornwised U,O'Connor M,Suwanugsorn S,Chansatitporn N","Effects of a transitional telehealth program on functional status, rehospitalization, and satisfaction with care in Thai patients with heart failure","Home Health Care Management & Practice","Home Health Care Management & Practice","2021","33","2","72-80","","","2021","http://dx.doi.org/10.1177/1084822320969400","10.1177/1084822320969400","Ineligible intervention"
"Journal Article","Stergiopoulos V,Gozdzik A,Cohen A,Guimond T,Hwang SW,Kurdyak P","The effect of brief case management on emergency department use of frequent users in mental health: findings of a randomized controlled trial","PLOS One","PLOS One","2017","12","8","e0182157","","","2017","http://dx.doi.org/10.1371/journal.pone.0182157","10.1371/journal.pone.0182157","Care navigator - delivering clinical care"
"Journal Article","Stewart S,Wiley JF,Ball J,Chan YK,Ahamed Y,Thompson DR","Impact of nurse-led, multidisciplinary home-based intervention on event-free survival across the spectrum of chronic heart disease","Circulation","Circulation","2016","133","19","1867-1877","","","2016","http://dx.doi.org/10.1161/CIRCULATIONAHA.116.020730","10.1161/CIRCULATIONAHA.116.020730","Care navigator - delivering clinical care"
"Journal Article","Stitzer M,Matheson T,Cunningham C,Sorensen JL,Feaster DJ,Gooden L","Enhancing patient navigation to improve intervention session attendance and viral load suppression of persons with HIV and substance use: a secondary post hoc analysis of the Project HOPE study","Addiction Science & Clinical Practice","Addiction Science & Clinical Practice","2017","12","1","16","","","2017","http://dx.doi.org/10.1186/s13722-017-0081-1","10.1186/s13722-017-0081-1","Ineligible outcomes"
"Journal Article","Straus SE,Dolovich L","In hospitalized adults with polypharmacy, a multifaceted pharmacist intervention reduced readmissions at 180 days","Annals of Internal Medicine","Annals of Internal Medicine","2018","168","10","JC59","","","2018","http://dx.doi.org/10.7326/ACPJC-2018-168-10-059","10.7326/ACPJC-2018-168-10-059","Ineligible setting"
"Journal Article","Suijker JJ,van Rijn M,Buurman BM,Ter Riet G,Moll van Charante EP,de Rooij SE","Effects of nurse-led multifactorial care to prevent disability in community-living older people: cluster randomized trial","PLOS One","PLOS One","2016","11","7","e0158714","","","2016","http://dx.doi.org/10.1371/journal.pone.0158714","10.1371/journal.pone.0158714","Ineligible intervention"
"Journal Article","Sussman J,Bainbridge D,Whelan TJ,Brazil K,Parpia S,Wiernikowski J","Evaluation of a specialized oncology nursing supportive care intervention in newly diagnosed breast and colorectal cancer patients following surgery: a cluster randomized trial","Supportive Care in Cancer","Supportive Care in Cancer","2018","26","5","1533-1541","","","2018","http://dx.doi.org/10.1007/s00520-017-3981-4","10.1007/s00520-017-3981-4","Care navigator - delivering clinical care"
"Journal Article","Svikis DS,Kelpin SS,Keyser-Marcus L,Bishop DL,Parlier-Ahmad AB,Jones H","Increasing prenatal care compliance in at-risk black women: findings from a RCT of patient navigation and behavioral incentives","Journal of Racial and Ethnic Health Disparities","Journal of Racial and Ethnic Health Disparities","2021","9","2","630-640","","","2021","http://dx.doi.org/10.1007/s40615-021-00995-9","10.1007/s40615-021-00995-9","Ineligible outcomes"
"Journal Article","Svoren BM,Butler D,Levine BS,Anderson BJ,Laffel LM","Reducing acute adverse outcomes in youths with type 1 diabetes: a randomized, controlled trial","Pediatrics","Pediatrics","2003","112","4","914-922","","","2003","","","Care navigator - delivering clinical care"
"Journal Article","Thygesen LC,Fokdal S,Gjorup T,Taylor RS,Zwisler AD,Prevention of Early Readmission Research Group","Can municipality-based post-discharge follow-up visits including a general practitioner reduce early readmission among the fragile elderly (65+ years old)? A randomized controlled trial","Scandinavian Journal of Primary Health Care","Scandinavian Journal of Primary Health Care","2015","33","2","65-73","","","2015","http://dx.doi.org/10.3109/02813432.2015.1041831","10.3109/02813432.2015.1041831","Ineligible intervention"
"Journal Article","Tu Q,Xiao LD,Ullah S,Fuller J,Du H","A transitional care intervention for hypertension control for older people with diabetes: a cluster randomized controlled trial","Journal of Advanced Nursing","Journal of Advanced Nursing","2020","76","10","2696-2708","","","2020","http://dx.doi.org/10.1111/jan.14466","10.1111/jan.14466","Ineligible intervention"
"Journal Article","Venkatesan T,Porcelli AJ,Matapurkar A,Hahn B,Szabo A,Yin Z","An integrative, patient-centered model of care using meditation and care coordination improves quality of life and coping strategies in cyclic vomiting syndrome: a prospective randomized controlled trial","Gastroenterology","Gastroenterology","2018","154","6","S‐16","","","2018","http://dx.doi.org/10.1016/S0016-5085(18)30536-5","10.1016/S0016-5085(18)30536-5","Protocol or abstract without results"
"Journal Article","Wagner EH,Ludman EJ,Aiello Bowles EJ,Penfold R,Reid RJ,Rutter CM","Nurse navigators in early cancer care: a randomized, controlled trial","Journal of Clinical Oncology","Journal of Clinical Oncology","2014","32","1","12-18","","","2014","http://dx.doi.org/10.1200/JCO.2013.51.7359","10.1200/JCO.2013.51.7359","Ineligible outcomes"
"Journal Article","Wakefield BJ,Ward MM,Holman JE,Ray A,Scherubel M,Burns TL","Evaluation of home telehealth following hospitalization for heart failure: a randomized trial","Telemedicine and e-Health","Telemedicine and e-Health","2008","14","8","753-761","","","2008","http://dx.doi.org/10.1089/tmj.2007.0131","10.1089/tmj.2007.0131","Ineligible intervention"
"Journal Article","Wells KJ,Arevalo M,Calcano ER,Lee J-H,Fulp WJ,Meade CD","Does patient navigation improve outcomes following a breast or colorectal screening abnormality? Outcomes of the Moffitt Cancer Center Patient Navigation Research Program","Cancer Epidemiology Biomarkers and Prevention","Cancer Epidemiology Biomarkers and Prevention","2011","20","","10","","","2011","http://dx.doi.org/10.1158/1055-9965.DISP-11-B100","10.1158/1055-9965.DISP-11-B100","Ineligible intervention"
"Journal Article","Werr J,Öhlén G","World's largest case management RCT","International Journal of Integrated Care","International Journal of Integrated Care","2016","16","6","1-2","","","2016","http://dx.doi.org/10.5334/ijic.2730","10.5334/ijic.2730","Conference presentation"
"Journal Article","Wong FK,Ho MM,Yeung S,Tam SK,Chow SK","Effects of a health-social partnership transitional program on hospital readmission: a randomized controlled trial","Social Science & Medicine","Social Science & Medicine","2011","73","7","960-969","","","2011","http://dx.doi.org/10.1016/j.socscimed.2011.06.036","10.1016/j.socscimed.2011.06.036","Ineligible intervention"
"Book","Yeung SM","The Effects of a Transitional Care Programme Using Holistic Care Interventions for Chinese Stroke Survivors and Their Care Providers: a Randomized Controlled Trial [Dissertation]","","","2012","","","","Hong Kong Polytechnic University","Hong Kong","2012","","","Ineligible intervention"
"Journal Article","Young W,Rewa G,Goodman SG,Jaglal SB,Cash L,Lefkowitz C","Evaluation of a community-based inner-city disease management program for postmyocardial infarction patients: a randomized controlled trial","Canadian Medical Association Journal","Canadian Medical Association Journal","2003","169","9","905-910","","","2003","","","Ineligible intervention"
"Journal Article","Yu DS-F,Lee DT,Stewart S,Thompson DR,Choi KC,Yu CM","The effects of a nurse-led empowerment-based disease management program on clinical outcomes, self-care and health-related quality of life among Chinese patients with heart failure","European Journal of Heart Failure","European Journal of Heart Failure","2014","16","","60","","","2014","http://dx.doi.org/10.1002/ejhf.93_4","10.1002/ejhf.93_4","Conference presentation"
"Journal Article","Yu DS,Lee DT,Stewart S,Thompson DR,Choi KC,Yu CM","Effect of nurse-implemented transitional care for Chinese individuals with chronic heart failure in Hong Kong: a randomized controlled trial","Journal of the American Geriatrics Society","Journal of the American Geriatrics Society","2015","63","8","1583-1593","","","2015","http://dx.doi.org/10.1111/jgs.13533","10.1111/jgs.13533","Ineligible intervention"
"Journal Article","Yu WZ,Wang HF,Lin YK,Liu YL,Yen Y,Whang-Peng J","The effect of oncology nurse navigation on mental health in patients with cancer in Taiwan: a randomized controlled clinical trial","Current Oncology","Current Oncology","2024","31","7","4105-4122","","","2024","http://dx.doi.org/10.3390/curroncol31070306","10.3390/curroncol31070306","Care navigator delivering clinical care"
"Journal Article","Yuan LX,Leong ST,Amanulla M,Lee CN,Najumudin N,Chew PC","A nurse-managed telephone follow-up and home visit programme for patients with high risk of unscheduled readmissions-preliminary results of a randomised controlled trial","Proceedings of Singapore Healthcare","Proceedings of Singapore Healthcare","2011","20","","197","","","2011","http://dx.doi.org/10.1177/20101058110200S101","10.1177/20101058110200S101","Protocol or abstract without results"
"Journal Article","Yuroong A,Asdornwised U,Pinyopasakul W,Wongkornrat W,Chansatitporn N","The effectiveness of the transitional care program among people awaiting coronary artery bypass graft surgery: a randomized control trial","Journal of Nursing Scholarship","Journal of Nursing Scholarship","2021","53","5","585-594","","","2021","http://dx.doi.org/10.1111/jnu.12673","10.1111/jnu.12673","Ineligible intervention"
"Journal Article","Zatzick D,Russo J,Thomas P,Darnell D,Teter H,Ingraham L","Patient-centered care transitions after injury hospitalization: a comparative effectiveness trial","Psychiatry","Psychiatry","2018","81","2","141-157","","","2018","http://dx.doi.org/10.1080/00332747.2017.1354621","10.1080/00332747.2017.1354621","Ineligible intervention"
"Journal Article","Zhang J,Donald M,Baxter KA,Ware RS,Burridge L,Russell AW","Impact of an integrated model of care on potentially preventable hospitalizations for people with Type 2 diabetes mellitus","Diabetic Medicine","Diabetic Medicine","2015","32","7","872-880","","","2015","http://dx.doi.org/10.1111/dme.12705","10.1111/dme.12705","Ineligible study design"
"Journal Article","Zimmer JG,Groth-Juncker A,McCusker J","A randomized controlled study of a home health care team","American Journal of Public Health","American Journal of Public Health","1985","75","2","134-141","","","1985","","","Ineligible intervention"
"Journal Article","Zubeltzu B,Mitxelena A,Alberdi A,Elola M,Errasti U,Berroeta A","Multipronged management strategy for patients with complex needs using an integrated organizational model","International Journal of Integrated Care","International Journal of Integrated Care","2018","18","","1-2","","","2018","http://dx.doi.org/10.5334/ijic.s2014","10.5334/ijic.s2014","Conference presentation"
