"Title","Authors","DOI","DOI.link","Venue","Citation.count","Year","Study.Design","Reasoning.for..Study.Design.","Animal.Population.and.Model.Induction","Reasoning.for..Animal.Population.and.Model.Induction.","Experimental.Interventions","Reasoning.for..Experimental.Interventions..","Outcomes..Primary.and.Secondary.","Reasoning.for..Outcomes..Primary.and.Secondary..","Control.Interventions","Reasoning.for..Control.Interventions.","Primary.Research.Type","Reasoning.for..Primary.Research.Type.","Screening.judgement","Reasoning.for..Screening.judgement.","Screening.score","record_id","label","pages","volume","number","isbn","abstract"
"Modulation of mGlu2 Receptors, but Not PDE10A Inhibition Normalizes Pharmacologically-Induced Deviance in Auditory Evoked Potentials and Oscillations in Conscious Rats","A. Ahnaou, R. Biermans, W. Drinkenburg","10.1371/journal.pone.0147365","https://doi.org/10.1371/journal.pone.0147365","PLoS ONE",15,2016,"yes","The study includes in vivo controlled experiments using Sprague Dawley rats with clear experimental and control conditions, which meets the requirement for in vivo controlled experiments.","yes","The study uses animal models of psychosis induced by amphetamine and PCP (NMDA antagonist), which are explicitly mentioned as valid methods in the screening criteria.","no","The study does not investigate TAAR1 agonists. Instead, it focuses on mGluR2 agonists (LY404039) and PDE10 inhibitors (PQ-10), which is a critical failure to meet the inclusion criteria.","maybe","While the study measures relevant neurophysiological outcomes (AEP waveforms and oscillations), it does not specifically measure the required co-primary outcomes of locomotor activity and PPI, which is a significant limitation.","yes","The study includes appropriate control conditions, comparing interventions to vehicle controls and using established antipsychotics (risperidone and olanzapine) as positive controls.","yes","This is an original experimental study using animal models, meeting this criterion.","Exclude","The study fails to meet critical screening criteria, specifically the requirement for TAAR1 agonist investigation, which is a fundamental exclusion factor. While the research demonstrates rigorous experimental design using animal models of psychosis and appropriate control interventions, the absence of TAAR1 agonist exploration renders the study non-compliant with the specified screening requirements. The neurophysiological outcomes, though scientifically valuable, do not align with the predetermined co-primary outcome measures.",1.4,"sr1_elicit_264","elicit_exclude","e0147365","11","1","1932-6203",NA
"Avenues for the development of therapeutics that target trace amine associated receptor 1 (TAAR1).","G. Miller","10.1021/jm201437t","https://doi.org/10.1021/jm201437t","Journal of Medicinal Chemistry",24,2012,"no","The abstract does not describe any experimental study and appears to be a review or overview of GPCRs and their role in drug development. There is no mention of in vivo controlled experiments.","no","The abstract contains no information about animal models or psychosis induction methods. It focuses on general GPCR drug targets and their market presence.","no","While the abstract mentions antipsychotics as one class of drugs targeting GPCRs, it does not specifically discuss TAAR1 agonists or any experimental interventions. This is a broad overview rather than an experimental study.","no","The abstract does not discuss any behavioral measures, locomotor activity, prepulse inhibition, or other outcomes specified in the criteria. It focuses on market statistics and drug targeting.","no","No control interventions are described in the abstract, as this is not an experimental study.","no","This appears to be a review or overview paper about GPCRs and their role in drug development, not an original experimental study using animal models.","Exclude","This abstract describes a broad overview of G protein-coupled receptors in drug development, lacking any experimental design, animal models, or specific interventions required by the screening criteria. The text focuses on market statistics and drug targeting, completely missing the systematic review's key requirements for an original experimental study involving animal models of psychosis and specific pharmacological interventions.",0.1,"sr1_elicit_265","elicit_exclude","1809–1814","55","5","1520-4804",NA
"Neuregulin 1 Prevents Phencyclidine-Induced Behavioral Impairments and Disruptions to GABAergic Signaling in Mice","Martin Engel, P. Snikeris, A. Jenner, T. Karl, Xu-Feng Huang, E. Frank","10.1093/ijnp/pyu114","https://doi.org/10.1093/ijnp/pyu114","International Journal of Neuropsychopharmacology",32,2015,"yes","The study includes in vivo controlled experiments using mice, which meets the requirement for in vivo controlled experiments.","yes","The study uses PCP (phencyclidine) to induce psychosis-like features in the animal models, which is a valid method of inducing psychosis-like behaviors.","no","The study investigates NRG1 (neuregulin 1) signaling, which is completely different from the target intervention of TAAR1 agonists. This is a critical mismatch with the inclusion criteria.","yes","The study includes both primary outcomes specified in the criteria: locomotor activity (hyperlocomotion) and prepulse inhibition (PPI) of the acoustic startle reflex. It also includes neurobiological measures of neurotransmitter signaling.","yes","The study includes appropriate control conditions, comparing NRG1 treatment with vehicle controls and PCP-induced psychosis models.","yes","This is an original experimental study using animal models.","Exclude","The study meets most screening criteria, including appropriate animal models, controlled experimental design, and relevant behavioral outcomes. However, the critical intervention criterion is not met, as the research investigates NRG1 signaling instead of the required TAAR1 agonists. This fundamental mismatch with the intervention requirement leads to exclusion from the systematic review.",0.1,"sr1_elicit_266","elicit_exclude","pyu114–pyu114","18","7","1469-5111",NA
"Effects of the Dopamine D2 Allosteric Modulator, PAOPA, on the Expression of GRK2, Arrestin-3, ERK1/2, and on Receptor Internalization","Dipannita Basu, Yuxin Tian, J. Bhandari, Jian Ru Jiang, P. Hui, Rodney L. Johnson, Ram K. Mishra","10.1371/journal.pone.0070736","https://doi.org/10.1371/journal.pone.0070736","PLoS ONE",19,2013,"yes","The study includes in vivo experiments in rats, which meets the criterion for in vivo controlled experiments. However, it also includes in vitro cellular studies, but the in vivo component is clearly present.","maybe","The abstract mentions ""rodent models of the disease"" and ""schizophrenia-like behavioural abnormalities,"" suggesting the use of animal models of psychosis. However, it doesn't explicitly state the method of psychosis induction, which creates some uncertainty.","no","The study investigates PAOPA, which is described as an allosteric modulator of the D2 receptor. This does NOT meet the criterion as it's not a TAAR1 agonist. The intervention is clearly focused on D2 receptor modulation, which is a different mechanism of action.","no","The abstract doesn't explicitly mention either of the co-primary outcomes (locomotor activity or PPI). The outcomes described focus on molecular signaling pathways (GRK2, arrestin-3, ERK1/2) and receptor internalization, which don't match the required primary outcomes.","maybe","The abstract doesn't explicitly describe the control conditions used in the in vivo experiments. While it mentions ""agonist treatment"" in the cellular studies, the control conditions for the animal studies are not clearly stated.","yes","This is an original experimental study using animal models, which meets this criterion.","Exclude","The study investigates a novel allosteric modulator of the D2 receptor in rodent models of schizophrenia, but fails to meet critical screening criteria, particularly the requirement for TAAR1 agonist interventions. While the research involves in vivo experiments and explores molecular signaling pathways, it does not align with the specified primary outcomes or intervention characteristics needed for inclusion in the systematic review.",1.4,"sr1_elicit_267","elicit_exclude","e70736","8","8","1932-6203",NA
"Activation of Trace Amine-Associated Receptor 1 Stimulates an Antiapoptotic Signal Cascade via Extracellular Signal-Regulated Kinase 1/2","Xiao Shi, Tracy L. Swanson, N. Miner, A. Eshleman, A. Janowsky","10.1124/mol.119.116798","https://doi.org/10.1124/mol.119.116798","Molecular Pharmacology",9,2019,"maybe","The study includes in vivo controlled experiments using both wild-type and knockout mice, as well as in vitro cellular experiments. While it meets the controlled experiment requirement, the in vitro component is not relevant to the review's focus.","maybe","The study uses methamphetamine (MA) as a model, which is mentioned as a psychostimulant that can induce psychosis-like features. However, the focus appears to be on neurotoxicity rather than psychosis-like behaviors. The study uses both wild-type and knockout mice, but not specifically as a psychosis model.","maybe","The study does investigate TAAR1 agonists (RO5166017) and includes TAAR1 antagonists as controls. However, the primary focus is on neuroprotection against MA-induced toxicity rather than antipsychotic effects.","no","The study does not measure the required co-primary outcomes (locomotor activity and PPI). Instead, it focuses on molecular mechanisms (Bcl-2, ERK1/2, AKT pathways) and neuroprotection. None of the secondary outcomes exactly match those specified in the criteria.","maybe","The study includes appropriate control groups (wild-type vs knockout mice, vehicle controls), but these are not specifically designed as psychosis model controls as required by the criteria.","yes","This is an original experimental study using animal models, meeting this criterion.","Include","The study investigates TAAR1 mechanisms in methamphetamine-induced neurotoxicity using mouse models, but fails to meet key screening criteria for psychosis research. Specifically, the research lacks the required behavioral outcomes, does not focus on psychosis-like features, and uses a neuroprotection model rather than a psychosis model. While methodologically sound, the study does not align with the systematic review's specific requirements for animal models of psychosis.",2.5,"sr1_elicit_268","elicit_include","493–504","96","4","0026-895X",NA
"Wakefulness Induced by TAAR1 Partial Agonism is Mediated Through Dopaminergic Neurotransmission","Sunmee Park, J. Heu, M. Hoener, T. Kilduff","10.1101/2024.09.09.612122","https://doi.org/10.1101/2024.09.09.612122","bioRxiv",0,2024,"yes","The study includes in vivo controlled experiments with mice, comparing different treatment conditions, which meets the requirement for in vivo controlled experiments.","no","The study does not use an animal model of psychosis. The research focuses on sleep/wake regulation and dopamine receptor interactions, and there is no mention of psychosis-like features or behaviors being induced.","yes","The study does investigate a TAAR1 agonist (RO5263397), which meets the requirement for investigating compounds/medications acting as TAAR1 agonists.","no","The study measures sleep/wake parameters, EEG, EMG, temperature, and activity, but does not measure the required co-primary outcomes (locomotor activity and PPI) or other specified behavioral assays related to psychosis.","no","While the study includes control conditions (vehicle and saline), these are not the specific control conditions required for psychosis studies (vehicle in psychosis model or current antipsychotics).","yes","This is an original experimental study using animal models, meeting the requirement for primary research type.","Exclude","The study does not meet key screening criteria for a psychosis-related research investigation, specifically lacking an animal model of psychosis, required behavioral outcome measures, and appropriate control interventions. While the research involves a TAAR1 agonist and is an original experimental study, its focus on sleep regulation fundamentally diverges from the systematic review's requirements for psychosis research. Consequently, the abstract fails to satisfy multiple critical screening criteria.",1.4,"sr1_elicit_269","elicit_exclude",NA,NA,NA,NA,"Abstract
                  Trace amine-associated receptor 1 (TAAR1) is known to negatively regulate dopamine (DA) release. The partial TAAR1 agonist RO5263397 promotes wakefulness and suppresses NREM and REM sleep in mice, rats, and non-human primates. We tested the hypothesis that the TAAR1-mediated effects on sleep/wake were due, at least in part, to DA release. Male C57BL6/J mice (n=8) were intraperitoneally administered the D1R antagonist SCH23390, the D2R antagonist eticlopride, a combination of D1R+D2R antagonists or saline at ZT5.5, followed 30 min later by RO5263397 or vehicle (10% DMSO in DI water) at ZT6
                  per os
                  . EEG, EMG, subcutaneous temperature, and activity were recorded in each mouse across the 8 treatment conditions and sleep architecture was analyzed for 6 hours post-dosing. Consistent with our previous reports, RO5263397 increased wakefulness as well as the latency to NREM and REM sleep. D1, D2, and D1+D2 pretreatment reduced RO5263397-induced wakefulness during the first 1-2 hours after dosing, but only the D1+D2 combination attenuated the wake-promoting effect of RO5263397 from ZT6-8, mostly by increasing NREM sleep. Although D1+D2 antagonism blocked the wake-promoting effect of RO5263397, only the D1 antagonist significantly reduced the TAAR1-mediated increase in NREM latency. Neither the D1 nor the D2 antagonist affected TAAR1-mediated suppression of REM sleep. These results suggest that, whereas TAAR1 effects on wakefulness are mediated in part through the D2R, D1R activation plays a role in reversing the TAAR1-mediated increase in NREM sleep latency. By contrast, TAAR1-mediated suppression of REM sleep appears not to involve D1R or D2R mechanisms.
                "
"D-Neuron: Is it Ligand-Producing Neuron of Taar1? From Schizophrenia Research","K. Ikemoto","10.4172/2161-0711.1000221","https://doi.org/10.4172/2161-0711.1000221","-",6,2013,"no","The abstract does not directly describe any specific in vivo controlled experiments. It appears to be more of a review or theoretical piece discussing D-neuron research and presenting a hypothesis, rather than describing specific experimental work.","no","The abstract mentions ""schizophrenia model animals"" briefly, but does not describe any specific animal models or methods of psychosis induction. The focus is primarily on post-mortem human brain studies and theoretical mechanisms.","no","The abstract does not describe any specific experimental interventions with TAAR1 agonists. While it discusses TAAR1 as a target and mentions various ligands, it does not detail experimental administration of TAAR1 agonists.","no","The abstract does not mention any of the primary outcomes (locomotor activity or PPI) or specific secondary outcomes listed in the criteria. While it discusses neurobiological mechanisms, these are presented as background rather than experimental outcomes.","no","No control interventions are described in the abstract.","no","Based on the abstract's language and content, this appears to be a review or theoretical paper rather than an original experimental study.","Exclude","The abstract presents a theoretical discussion of D-neuron research and TAAR1 mechanisms in schizophrenia, lacking the specific experimental details required by the screening criteria. While touching on neurobiological concepts, the text does not demonstrate an original experimental study with controlled animal models, specific interventions, or defined primary and secondary outcomes. Consequently, the paper appears to be a review or hypothesis-driven narrative rather than a primary research article meeting the systematic review's methodological requirements.",1.4,"sr1_elicit_270","elicit_exclude",NA,NA,NA,NA,NA
"Confirmation of a Causal Taar1 Allelic Variant in Addiction-Relevant Methamphetamine Behaviors","T. Phillips, Tyler A. Roy, S. J. Aldrich, Harue Baba, J. Erk, John R K Mootz, C. Reed, E. Chesler","10.3389/fpsyt.2021.725839","https://doi.org/10.3389/fpsyt.2021.725839","Frontiers in Psychiatry",9,2021,"yes","The study includes in vivo controlled experiments using animal models, which meets the criterion for in vivo controlled experiments.","no","The study uses animal models, but they are not specifically models of psychosis. Instead, the study focuses on methamphetamine effects and addiction-related behaviors, which do not meet the criterion of using animal models of psychosis.","no","The study examines TAAR1 function, but not through the administration of TAAR1 agonist compounds/medications. Instead, it uses genetic manipulation (knock-in mice) to study TAAR1 function, which does not meet the criterion of investigating TAAR1 agonist compounds/medications.","no","The study measures different outcomes than those specified in the criteria. While it includes behavioral measures, they are not the specific co-primary outcomes of locomotor activity and PPI required by the criterion.","no","The study uses appropriate control groups (Taar1+/+ or Taar1+/m1J mice as controls for Taar1m1J/m1J mice), but these are not the specific control conditions required by the criterion (vehicle or current antipsychotics in psychosis models).","yes","This is an original experimental study using animal models, meeting this criterion.","Exclude","The study does not meet key screening criteria for a systematic review on TAAR1 and psychosis, primarily because it focuses on methamphetamine addiction rather than psychosis models. Genetic manipulation of TAAR1 in mice, while scientifically rigorous, differs from the required pharmacological interventions and specific behavioral outcomes related to psychosis. Consequently, the research falls outside the defined inclusion parameters for the systematic review.",1.4,"sr1_elicit_271","elicit_exclude",NA,NA,NA,NA,"
                    Sensitivity to rewarding and reinforcing drug effects has a critical role in initial use, but the role of initial aversive drug effects has received less attention. Methamphetamine effects on dopamine re-uptake and efflux are associated with its addiction potential. However, methamphetamine also serves as a substrate for the trace amine-associated receptor 1 (TAAR1). Growing evidence in animal models indicates that increasing TAAR1 function reduces drug self-administration and intake. We previously determined that a non-synonymous single nucleotide polymorphism (SNP) in
                    Taar1
                    predicts a conformational change in the receptor that has functional consequences. A
                    Taar1
                    m
                      1
                      J
                    
                    mutant allele existing in DBA/2J mice expresses a non-functional receptor. In comparison to mice that possess one or more copies of the reference
                    Taar1
                    allele (
                    Taar1
                    +/+
                    or
                    Taar1
                    
                      +/
                      m
                      1
                      J
                    
                    ), mice with the
                    Taar1
                    m
                      1
                      J
                      /
                      m
                      1
                      J
                    
                    genotype readily consume methamphetamine, express low sensitivity to aversive effects of methamphetamine, and lack sensitivity to acute methamphetamine-induced hypothermia. We used three sets of knock-in and control mice in which one
                    Taar1
                    allele was exchanged with the alternative allele to determine if other methamphetamine-related traits and an opioid trait are impacted by the same
                    Taar1
                    SNP proven to affect MA consumption and hypothermia. First, we measured sensitivity to conditioned rewarding and aversive effects of methamphetamine to determine if an impact of the
                    Taar1
                    SNP on these traits could be proven. Next, we used multiple genetic backgrounds to study the consistency of
                    Taar1
                    allelic effects on methamphetamine intake and hypothermia. Finally, we studied morphine-induced hypothermia to confirm prior data suggesting that a gene in linkage disequilibrium with
                    Taar1
                    , rather than
                    Taar1
                    , accounts for prior observed differences in sensitivity. We found that a single SNP exchange reduced sensitivity to methamphetamine conditioned reward and increased sensitivity to conditioned aversion. Profound differences in methamphetamine intake and hypothermia consistently corresponded with genotype at the SNP location, with only slight variation in magnitude across genetic backgrounds. Morphine-induced hypothermia was not dependent on
                    Taar1
                    genotype. Thus,
                    Taar1
                    genotype and TAAR1 function impact multiple methamphetamine-related effects that likely predict the potential for methamphetamine use. These data support further investigation of their potential roles in risk for methamphetamine addiction and therapeutic development.
                  "
"Increasing Endocannabinoid Levels in the Ventral Pallidum Restore Aberrant Dopamine Neuron Activity in the Subchronic PCP Rodent Model of Schizophrenia","David D. Aguilar, Li Chen, D. Lodge","10.1093/ijnp/pyu035","https://doi.org/10.1093/ijnp/pyu035","International Journal of Neuropsychopharmacology",27,2014,"yes","The study includes in vivo controlled experiments using rats with chloral hydrate anesthesia, which meets the criterion for controlled experiments.","yes","The study uses a ""sub-chronic phencyclidine (PCP) model"" which is explicitly mentioned as a method of inducing psychosis-like features. PCP is a known NMDA antagonist used in animal models of psychosis, which meets the criterion.","no","The study investigates URB-597, which is an endocannabinoid enhancer, not a TAAR1 agonist. The abstract makes no mention of TAAR1 or TAAR1 agonists, which fails to meet the criterion.","no","The study measures dopamine neuron activity and ventral pallidal activity, which are not the specified co-primary outcomes (locomotor activity and PPI). While these are relevant neurobiological measures, they don't match the required primary outcomes.","maybe","The study appears to use appropriate control conditions, comparing PCP-treated rats with and without URB-597 treatment. However, since the intervention isn't a TAAR1 agonist, this becomes less relevant.","yes","This is clearly an original experimental study using animal models.","Exclude","The study uses a sub-chronic phencyclidine model in rats and investigates endocannabinoid enhancement, but critically fails to meet key screening criteria by not using TAAR1 agonists and not measuring the specified primary outcomes of locomotor activity and prepulse inhibition. Despite being a well-designed experimental study, these fundamental misalignments with the review's requirements render the paper unsuitable for inclusion.",1.4,"sr1_elicit_272","elicit_exclude","pyu035–pyu035","18","1","1469-5111",NA
"Human Autoantibodies Against N-Methyl-D-Aspartate Receptor Modestly Alter Dopamine D1 Receptor Surface Dynamics","H. Gréa, Delphine Bouchet, V. Rogemond, N. Hamdani, Emmanuel Le Guen, R. Tamouza, Estelle Darrau, C. Passerieux, J. Honnorat, M. Leboyer, L. Groc","10.3389/fpsyt.2019.00670","https://doi.org/10.3389/fpsyt.2019.00670","Frontiers in Psychiatry",16,2019,"no","The study appears to be an in vitro study examining receptor dynamics in hippocampal neurons, not an in vivo controlled experiment. The abstract mentions ""single nanoparticle imaging"" and studies on neurons, indicating laboratory cell-based research.","no","While the abstract mentions ""behavioral deficits in animal models"" in passing, the actual study described does not use animal models of psychosis. Instead, it uses isolated neurons exposed to antibodies.","no","The study does not investigate TAAR1 agonists at all. Instead, it focuses on NMDAR antibodies and their effects on D1R surface dynamics.","no","The study does not measure either of the co-primary outcomes (locomotor activity or PPI of acoustic startle reflex). While it does examine neurobiological measures of receptor signaling (which falls under secondary outcomes), this alone is insufficient when primary outcomes are not measured.","no","While the study does include controls (healthy NMDAR-Ab seropositive or seronegative subjects' IgGs), these are not the type of controls specified in the criteria. The study doesn't use vehicle controls in animal models of psychosis or current antipsychotics as specified.","no","While this is original research, it is not an experimental study using animal models as specified. It's an in vitro cellular study.","Exclude","The study is an in vitro cellular research examining receptor dynamics, which fundamentally differs from the required in vivo animal model experimental design specified in the screening criteria. Critically, the research fails to meet key requirements including animal model induction, TAAR1 agonist interventions, specified control conditions, and primary behavioral outcome measurements. Consequently, the study does not align with the systematic review's precise methodological parameters.",0.1,"sr1_elicit_273","elicit_exclude",NA,NA,NA,NA,NA
"Discovery of a Novel Chemo-Type for TAAR1 Agonism via Molecular Modeling","Giancarlo Grossi, Naomi Scarano, F. Musumeci, M. Tonelli, Evgeny V. Kanov, Anna Carbone, P. Fossa, R. Gainetdinov, E. Cichero, Silvia Schenone","10.3390/molecules29081739","https://doi.org/10.3390/molecules29081739","Molecules",6,2024,"no","The study described in the abstract is an in silico (computational) molecular docking study, which explicitly fails the criterion that requires in vivo controlled experiments rather than in silico studies.","no","The study does not involve any animal models or animal experiments. It is purely computational research focusing on molecular interactions, and therefore fails to meet the criterion requiring the use of animal models of psychosis.","no","While the study does investigate TAAR1 agonists, which is relevant to the criterion, the investigation is purely computational/in silico. No actual administration of compounds to animal models was performed, which fails to meet the full requirements of the criterion.","no","No behavioral measures, locomotor activity, or prepulse inhibition outcomes are mentioned. The only outcomes are computational predictions of binding activity, which fails to meet the criterion's requirements for specific behavioral outcomes.","no","The abstract does not mention any control groups or interventions, as this is not an animal study, and therefore fails to meet the criterion requiring control interventions.","no","While this is original research, it is not an experimental study using animal models. It is a computational/theoretical study, which is explicitly excluded by the criterion.","Exclude","This computational study exclusively focuses on molecular docking and in silico screening of TAAR1 ligands, which fundamentally fails the screening criteria requiring in vivo controlled animal experiments. The research lacks animal models, behavioral outcomes, experimental interventions, and control groups, rendering it incompatible with the specified methodological requirements for inclusion in the review.",0.1,"sr1_elicit_274","elicit_exclude","1739","29","8","1420-3049","The search for novel effective TAAR1 ligands continues to draw great attention due to the wide range of pharmacological applications related to TAAR1 targeting. Herein, molecular docking studies of known TAAR1 ligands, characterized by an oxazoline core, have been performed in order to identify novel promising chemo-types for the discovery of more active TAAR1 agonists. In particular, the oxazoline-based compound S18616 has been taken as a reference compound for the computational study, leading to the development of quite flat and conformationally locked ligands. The choice of a “Y-shape” conformation was suggested for the design of TAAR1 ligands, interacting with the protein cavity delimited by ASP103 and aromatic residues such as PHE186, PHE195, PHE268, and PHE267. The obtained results allowed us to preliminary in silico screen an in-house series of pyrimidinone-benzimidazoles (1a–10a) as a novel scaffold to target TAAR1. Combined ligand-based (LBCM) and structure based (SBCM) computational methods suggested the biological evaluation of compounds 1a–10a, leading to the identification of derivatives 1a–3a (hTAAR1 EC50 = 526.3–657.4 nM) as promising novel TAAR1 agonists."
"A Novel Phosphodiesterase 1 Inhibitor DSR-141562 Exhibits Efficacies in Animal Models for Positive, Negative, and Cognitive Symptoms Associated with Schizophrenia","T. Enomoto, Ayaka Tatara, Masao Goda, Yohei Nishizato, Kantaro Nishigori, Atsushi Kitamura, M. Kamada, Shiori Taga, T. Hashimoto, K. Ikeda, Yuki Fujii","10.1124/jpet.119.260869","https://doi.org/10.1124/jpet.119.260869","Journal of Pharmacology and Experimental Therapeutics",25,2019,"yes","The study includes in vivo controlled experiments with clear experimental groups and controls, as evident from the multiple controlled experiments described in the abstract.","yes","The study uses appropriate animal models of psychosis, including methamphetamine-induced locomotor hyperactivity in rats and phencyclidine-induced deficits in mice and rats, which are valid methods of inducing psychosis-like features.","no","The study investigates a PDE1 inhibitor (DSR-141562), not a TAAR1 agonist, which is a critical mismatch with the inclusion criteria that specifically requires TAAR1 agonists.","yes","The study includes relevant behavioral measures, such as locomotor activity (matching primary outcome 1) and social interaction and cognitive measures (matching secondary outcomes). However, PPI (primary outcome 2) is not mentioned.","yes","The study includes appropriate control groups, such as vehicle controls and comparisons against baseline conditions.","yes","This is clearly an original experimental study using animal models.","Exclude","The study presents a comprehensive experimental investigation using animal models of psychosis, with robust controlled experiments and relevant behavioral outcomes. However, the critical intervention of a PDE1 inhibitor fundamentally differs from the required TAAR1 agonist, rendering the study non-compliant with the primary screening criterion. Despite meeting most methodological requirements, this key deviation necessitates exclusion from further consideration.",1.4,"sr1_elicit_275","elicit_exclude","692–702","371","3","0022-3565",NA
"Is the Hedgehog Pathway Involved in the Pathophysiology of Schizophrenia? A Systematic Review of Current Evidence of Neural Molecular Correlates and Perspectives on Drug Development","A. Del Casale, M. N. Modesti, G. Gentile, Cecilia Guariglia, Stefano Ferracuti, Maurizio Simmaco, M. Borro","10.3390/cimb46060318","https://doi.org/10.3390/cimb46060318","Current Issues in Molecular Biology",1,2024,"no","The paper is a systematic review, not an original experimental study with in vivo controlled experiments. The abstract explicitly states that it ""provides an overview"" and describes reviewing other studies rather than conducting original research.","no","While the paper includes some animal studies, it is reviewing these studies rather than conducting them. Additionally, it is not clear if the animal models specifically induced psychosis-like features as required.","no","The paper does not investigate TAAR1 agonists. Instead, it focuses on the Hedgehog (Hh) signalling pathway and its role in schizophrenia, with no mention of TAAR1 or related interventions.","no","The paper does not specifically measure the required co-primary outcomes (locomotor activity and PPI). While it discusses various aspects of schizophrenia, the specific behavioral measures required are not mentioned.","no","As this is a review paper, it does not directly implement control interventions. While it may discuss control groups in the reviewed studies, this is not relevant as the paper itself is not an experimental study.","no","This is explicitly a systematic review, not an original experimental study using animal models.","Exclude","This systematic review on Hedgehog signalling in schizophrenia fails to meet multiple screening criteria, including the requirement for an original experimental study with in vivo controlled experiments. The paper does not investigate TAAR1 agonists, lacks the specified primary behavioral outcomes, and is fundamentally a review of existing literature rather than a novel experimental investigation. Consequently, the study does not align with the predefined screening requirements for inclusion.",0.1,"sr1_elicit_276","elicit_exclude","5322–5336","46","6","1467-3045","Among the pathophysiological correlates of schizophrenia, recent research suggests a potential role for the Hedgehog (Hh) signalling pathway, which has been traditionally studied in embryonic development and oncology. Its dysregulation may impact brain homeostasis, neuroplasticity, and potential involvement in neural processes. This systematic review provides an overview of the involvement of Hh signalling in the pathophysiology of schizophrenia and antipsychotic responses. We searched the PubMed and Scopus databases to identify peer-reviewed scientific studies focusing on Hh and schizophrenia, following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses statement, finally including eight studies, including three articles focused on patients with schizophrenia, two animal models of schizophrenia, two animal embryo studies, and one cellular differentiation study. The Hh pathway is crucial in the development of midbrain dopaminergic neurons, neuroplasticity mechanisms, regulating astrocyte phenotype and function, brain-derived neurotrophic factor expression, brain glutamatergic neural transmission, and responses to antipsychotics. Overall, results indicate an involvement of Hh in the pathophysiology of schizophrenia and antipsychotic responses, although an exiguity of studies characterises the literature. The heterogeneity between animal and human studies is another main limitation. Further research can lead to better comprehension and the development of novel personalised drug treatments and therapeutic interventions."
"Whole transcriptome in silico screening implicates cardiovascular and infectious disease in the mechanism of action underlying atypical antipsychotic side effects","Yasaman Malekizadeh, Gareth Williams, M. Kelson, D. Whitfield, J. Mill, D. Collier, C. Ballard, A. Jeffries, B. Creese","10.1002/trc2.12078","https://doi.org/10.1002/trc2.12078","bioRxiv",6,2020,"no","The study appears to be an in vitro study using SH-SY5Y cells, not an in vivo controlled experiment. This clearly fails to meet the first criterion which specifically requires in vivo controlled experiments.","no","The study uses cell cultures (SH-SY5Y cells) rather than animal models of psychosis. There is no mention of any animal models or psychosis-like features being induced. This fails to meet the second criterion.","no","While the study does investigate antipsychotic medications (amisulpride, risperidone, and volinanserin), these are not TAAR1 agonists. The study focuses on understanding adverse effects of existing antipsychotics rather than investigating TAAR1 agonist activity. This fails to meet the third criterion.","no","The study does not measure the required co-primary outcomes (locomotor activity and PPI). Instead, it focuses on transcriptome signatures and bioinformatic analysis. This fails to meet the fifth criterion.","no","The study does not mention any control groups as defined in the criteria. While there may be controls in the experimental design, they don't match the specific control conditions required (vehicle controls or current antipsychotics in psychosis models).","no","While this is original research, it is not an experimental study using animal models as required. It is an in vitro study using cell cultures.","Exclude","This in vitro study using cell cultures fails to meet multiple screening criteria, including the requirement for in vivo controlled experiments with animal models of psychosis. The research does not investigate TAAR1 agonists, lacks the specified primary outcomes of locomotor activity and prepulse inhibition, and does not employ the defined control interventions. Consequently, the study does not align with the established screening requirements.",0.1,"sr1_elicit_277","elicit_exclude",NA,NA,NA,NA,"AbstractBackgroundStroke/thromboembolic events, infections, and death are all significantly increased by antipsychotics in dementia but little is known about why they can be harmful. Using a novel application of a drug repurposing paradigm, we aimed to identify potential mechanisms underlying adverse events.MethodsWhole transcriptome signatures were generated for SH‐SY5Y cells treated with amisulpride, risperidone, and volinanserin using RNA sequencing. Bioinformatic analysis was performed that scored the association between antipsychotic signatures and expression data from 415,252 samples in the National Center for Biotechnology Information Gene Expression Omnibus (NCBI GEO) repository.ResultsAtherosclerosis, venous thromboembolism, and influenza NCBI GEO‐derived samples scored positively against antipsychotic signatures. Pathways enriched in antipsychotic signatures were linked to the cardiovascular and immune systems (eg, brain derived neurotrophic factor [BDNF], platelet derived growth factor receptor [PDGFR]‐beta, tumor necrosis factor [TNF], transforming growth factor [TGF]‐beta, selenoamino acid metabolism, and influenza infection).ConclusionsThese findings for the first time mechanistically link antipsychotics to specific cardiovascular and infectious diseases which are known side effects of their use in dementia, providing new information to explain related adverse events."
