Title,Author,Journal,Abstract,Year,DOI,Publication Type
"3-Iodothyronamine, a trace amine-associated receptor agonist, regulates intracellular Ca2+ increases via CaMK II through Epac2 in rat cerebral arterioles.","Sakanoue, Wakana",Biomed Res,"Trace amines (TAs) in the nervous system bind to TA-associated receptors (TAARs) and are involved in the regulation of monoaminergic functions. Among TAAR subtypes, TAAR1 has been implicated in the development of neurological disorders, such as schizophrenia. The present study investigated the effects of the TAAR1 agonist, 3-iodothyronamine (T1AM) on cerebral arterioles using fluctuations in the intracellular concentration of Ca2+ ([Ca2+]i) as an index of contractile responses. In cerebral arterioles, most of the TAAR agonists did not increase [Ca2+]i, while only T1AM elevated [Ca2+]i in vascular smooth muscle cells. This increase involved extracellular Ca2+ influx through T-type Ca2+ channels and inositol trisphosphate- and ryanodine-receptor-mediated Ca2+ release from intracellular stores. The inhibition of the cAMP sensor, exchange protein directly activated by cAMP (Epac) 2, and calmodulin kinase (CaMK) II strongly inhibited Ca2+ elevations. The present study revealed that T1AM acted not only on the TAAR1 receptor as previously suggested, but also on other G-protein coupled receptors and/or signal transduction systems to increase intracellular Ca2+ in cerebral arteriole smooth muscle cells. These results suggest that when using T1AM in clinical practice, attention should be paid to the early rise in blood pressure.",2023,10.2220/biomedres.44.219,Journal Article
"Role of 5-HT2A, 5-HT2C, 5-HT1A and TAAR1 Receptors in the Head Twitch Response Induced by 5-Hydroxytryptophan and Psilocybin: Translational Implications.","Shahar, Orr",Int J Mol Sci,"There is increasing interest in the therapeutic potential of psilocybin. In rodents, the serotonin precursor, 5-hydroxytryptophan (5-HTP) and psilocybin induce a characteristic 5-HT2A receptor (5-HT2AR)-mediated head twitch response (HTR), which is correlated with the human psychedelic trip. We examined the role of other serotonergic receptors and the trace amine -associated receptor 1 (TAAR1) in modulating 5-HTP- and psilocybin-induced HTR. Male C57BL/6J mice (11 weeks, ~30 g) were administered 5-HTP, 50-250 mg/kg i.p., 200 mg/kg i.p. after pretreatment with 5-HT/TAAR1 receptor modulators, psilocybin 0.1-25.6 mg/kg i.p. or 4.4 mg/kg i.p., immediately preceded by 5-HT/TAAR1 receptor modulators. HTR was assessed in a custom-built magnetometer. 5-HTP and psilocybin induced a dose-dependent increase in the frequency of HTR over 20 min with attenuation by the 5-HT2AR antagonist, M100907, and the 5-HT1AR agonist, 8-OH-DPAT. The 5-HT2CR antagonist, RS-102221, enhanced HTR at lower doses but reduced it at higher doses. The TAAR1 antagonist, EPPTB, reduced 5-HTP- but not psilocybin-induced HTR. We have confirmed the key role of 5-HT2AR in HTR, an inhibitory effect of 5-HT1AR, a bimodal contribution of 5-HT2CR and a role of TAAR1 in modulating HTR induced by 5-HTP. Compounds that modulate psychedelic-induced HTR have important potential in the emerging therapeutic use of these compounds.",2022,10.3390/ijms232214148,Journal Article
Trace amine-associated receptor 1 (TAAR1) agonism as a new treatment strategy for schizophrenia and related disorders.,"Halff, Els F",Trends Neurosci,"Schizophrenia remains a major health burden, highlighting the need for new treatment approaches. We consider the potential for targeting the trace amine (TA) system. We first review genetic, preclinical, and clinical evidence for the role of TAs in the aetiopathology of schizophrenia. We then consider how the localisation and function of the trace amine-associated receptor 1 (TAAR1) position it to modulate key brain circuits for the disorder. Studies in rodents using Taar1 knockout (TAAR1-KO) and overexpression models show that TAAR1 agonism inhibits midbrain dopaminergic and serotonergic activity, and enhances prefrontal glutamatergic function. TAAR1 agonists also reduce hyperactivity, attenuate prepulse inhibition (PPI) deficits and social withdrawal, and improve cognitive measures in animal models. Finally, we consider findings from clinical trials of TAAR1 agonists and how this approach may address psychotic and negative symptoms, tolerability issues, and other unmet needs in the treatment of schizophrenia.",2023,10.1016/j.tins.2022.10.010,"Journal Article; Review; Research Support, Non-U.S. Gov't"
"Discovery of Trace Amine Associated Receptor 1 (TAAR1) Agonist 2-(5-(4'-Chloro-[1,1'-biphenyl]-4-yl)-4H-1,2,4-triazol-3-yl)ethan-1-amine (LK00764) for the Treatment of Psychotic Disorders.","Krasavin, Mikhail",Biomolecules,"A focused in-house library of about 1000 compounds comprising various heterocyclic motifs in combination with structural fragments similar to β-phenethylamine (PEA) or tyramine was screened for the agonistic activity towards trace amine-associated receptor 1 (TAAR1). The screening yielded two closely related hits displaying EC50 values in the upper submicromolar range. Extensive analog synthesis and testing for TAAR1 agonism in a BRET-based cellular assay identified compound 62 (LK00764) with EC50 = 4.0 nM. The compound demonstrated notable efficacy in such schizophrenia-related in vivo tests as MK-801-induced hyperactivity and spontaneous activity in rats, locomotor hyperactivity of dopamine transporter knockout (DAT-KO) rats, and stress-induced hyperthermia (i.p. administration). Further preclinical studies are necessary to evaluate efficacy, safety and tolerability of this potent TAAR1 agonist for the potential development of this compound as a new pharmacotherapy option for schizophrenia and other psychiatric disorders.",2022,10.3390/biom12111650,"Journal Article; Research Support, Non-U.S. Gov't"
"Discovery and In Vivo Efficacy of Trace Amine-Associated Receptor 1 (TAAR1) Agonist 4-(2-Aminoethyl)-N-(3,5-dimethylphenyl)piperidine-1-carboxamide Hydrochloride (AP163) for the Treatment of Psychotic Disorders.","Krasavin, Mikhail",Int J Mol Sci,"Starting from a screening hit, a set of analogs was synthesized based on a 4-(2-aminoethyl)piperidine core not associated previously with trace amine-associated receptor 1 (TAAR1) modulation in the literature. Several structure-activity relationship generalizations have been drawn from the observed data, some of which were corroborated by molecular modeling against the crystal structure of TAAR1. The four most active compounds (EC50 for TAAR1 agonistic activity ranging from 0.033 to 0.112 μM) were nominated for evaluation in vivo. The dopamine transporter knockout (DAT-KO) rat model of dopamine-dependent hyperlocomotion was used to evaluate compounds' efficacy in vivo. Out of four compounds, only one compound (AP163) displayed a statistically significant and dose-dependent reduction in hyperlocomotion in DAT-KO rats. As such, compound AP163 represents a viable lead for further preclinical characterization as a potential novel treatment option for disorders associated with increased dopaminergic function, such as schizophrenia.",2022,10.3390/ijms231911579,Journal Article
TAAR1 dependent and independent actions of the potential antipsychotic and dual TAAR1/5-HT1A receptor agonist SEP-383856.,"Saarinen, Marcus",Neuropsychopharmacology,"SEP-383856 (SEP-856) is a novel antipsychotic under clinical development. It displays a unique pattern of receptor interaction, with only weak (partial agonist) activity at dopamine D2 receptors, yet more potent agonist activity at the trace amine associated receptor (TAAR1) and 5-hydroxytryptamine 1 A receptor (5-HT1A). Nonetheless, these observations await independent confirmation and more detailed characterization of the in vitro and in vivo actions of SEP-856 at TAAR1 and 5-HT1A receptors would be instructive. Herein, we employed luminescence complementation technology in heterologous live cell systems, confocal microscopy, voltage clamp electrophysiology, behavioral readouts and TAAR1 knockout (KO) mice to study SEP-856 in further detail. We provide evidence for the ability of SEP-856 to activate TAAR1 at the surface plasma membrane, and show that this interaction results in Gαs recruitment (pEC50: 6.08 ± 0.22 EMAX: 96.41% ± 15.26) and by extension, to G-protein inwardly rectifying potassium (GIRK) channel activation. Using TAAR1-KO mice, we find TAAR1 to be indispensable for SEP-856 control of body temperature, baseline locomotion reduction and for ""antipsychotic-like"" efficacy as characterized by a reversal of dizocilipine (MK-801) mediated disruption of pre-pulse inhibition. Conversely, the inhibition by SEP-856 of MK-801 induced locomotion was unaffected in TAAR1 KO mice. SEP-856 behaved as a low-potency, partial agonist at the 5-HT1A receptor, while it partially inhibited recruitment of D2 receptor-coupled Gα and GIRK by DA and acted as a weak partial agonist with low potency at the same receptor when applied alone. Our findings corroborate and extend previous observations on the molecular substrates engaged by this unique, dual TAAR1/5-HT1A receptor agonist and potential antipsychotic that could prove to have major advantages in the treatment of schizophrenia and other psychotic disorders.",2022,10.1038/s41386-022-01421-2,"Journal Article; Research Support, Non-U.S. Gov't"
Selective TAAR1 agonists induce conditioned taste aversion.,"Liu, Jianfeng",Psychopharmacology (Berl),"RATIONALE Trace amine-associated receptor 1 (TAAR1) is the best-studied receptor of trace amines, a group of biogenic amines expressed at a relatively low level in the mammalian brain. Growing evidence suggests that TAAR1 plays a critical role in various neuropsychiatric disorders. Given that selective TAAR1 agonists were shown to produce pro-cognition and antipsychotic-like effects as well as to suppress drug use and relapse, they have been proposed to be novel treatments for mental disorders such as schizophrenia and addiction. However, the aversive effects of selective TAAR1 agonists remain largely unknown. OBJECTIVES Here, we evaluated whether the selective TAAR1 full agonist RO5166017 and partial agonist RO5263397 could induce conditioned taste aversion (CTA). RESULTS We found that RO5166017 and RO5263397 produced significant aversions to both saccharin and NaCl taste novelty. Furthermore, RO5166017 produced CTA to saccharin in TAAR1 heterozygous knockout (taar1±) and wild-type rats but not in TAAR1 homozygous knockout rats (taar1-/-), suggesting that TAAR1 was sufficient for the taste aversive stimulus property of RO5166017. CONCLUSIONS Taken together, our data indicate that selective TAAR1 agonists could produce strong CTA. Our study urges careful evaluations of the aversive effects of TAAR1 agonists before translating them to clinical use for the treatment of mental disorders.",2022,10.1007/s00213-022-06222-5,Journal Article
"In Vitro ADME and Preclinical Pharmacokinetics of Ulotaront, a TAAR1/5-HT1A Receptor Agonist for the Treatment of Schizophrenia.","Xiao, Guangqing",Pharm Res,"PURPOSE Ulotaront (SEP-363856) is a TAAR1 agonist with 5-HT1A agonist activity currently in clinical development for the treatment of schizophrenia. The objectives of the current study were to characterize the in vitro ADME properties, preclinical PK, and to evaluate the DDI potential of ulotaront and its major metabolite SEP-383103. METHODS Solubility, permeability, plasma protein binding, CYP inhibition and induction, transporter inhibition and uptake studies were conducted in vitro. Phenotyping studies were conducted using recombinant human CYPs and FMOs, human liver microsomes and human liver homogenates. Preclinical plasma and brain pharmacokinetics were determined after a single intraperitoneal, intravenous, and oral administration of ulotaront. RESULTS Ulotaront is a compound of high solubility, high permeability, and low binding to plasma proteins. Ulotaront metabolism is mediated via both NADPH-dependent and NADPH-independent pathways, with CYP2D6 as the major metabolizing enzyme. Ulotaront is an inducer of CYP2B6, and an inhibitor of CYP2D6, OCT1 and OCT2, while SEP-383103 is neither a CYP inducer nor a potent inhibitor of CYPs and human transporters. Ulotaront exhibits rapid absorption, greater than 70% bioavailability, approximately 3.5 L/kg volume of distribution, 1.5-4 h half-life, 12-43 ml/min/kg clearance, and good penetration across the blood-brain barrier in preclinical species. CONCLUSIONS Ulotaront has been designated as a BCS1 compound by US FDA. The ability of ulotaront to penetrate the blood-brain barrier for CNS targeting has been demonstrated in mice and rats. The potential for ulotaront and SEP-383103 to act as perpetrators of CYP and transporter-mediated DDIs is predicted to be remote.",2022,10.1007/s11095-022-03267-1,Journal Article
Effect of Co-Treatment of Olanzapine with SEP-363856 in Mice Models of Schizophrenia.,"Liang, Lingzhi",Molecules,"Olanzapine is a commonly used drug in the treatment of schizophrenia, but its clinical application has been restricted by metabolic-related side effects. In order to mitigate the weight gain side effects caused by olanzapine, other drugs with different targets were selected for combined use and evaluated in animal models of schizophrenia. SEP-363856 is a novel psychotropic agent which is under phase III clinical trials for schizophrenia treatment. The aim of the research was to evaluate whether co-administration of olanzapine and SEP-363856 exerts synergistic anti-schizophrenic effects in the apomorphine (APO)-induced climbing test, the MK-801-induced hyperactivity test, and the Morris water maze test, and therefore reduces the weight gain side effects induced by olanzapine. Through isobolographic analysis, the results showed a synergistic interaction in the climbing test; the experimental ED30 (3 mg/kg) was significantly smaller (p < 0.05) than the theoretical ED30 (5 mg/kg). Additionally, such potentiating effects appeared additive in the MK-801 challenge experiment. Co-treatment with an effective dose of olanzapine and a low dose of SEP-363856 reversed MK-801-induced cognitive impairment symptoms in mice. Moreover, combination treatment with olanzapine and SEP-363856 controls sustained weight gain in mice with chronic exposure to olanzapine. These results support further clinical trials to test the effectiveness of co-treatment of olanzapine and SEP-363856 for controlling symptoms and weight gain in patients with schizophrenia during antipsychotic treatments.",2022,10.3390/molecules27082550,Journal Article
"Trace amine-associated receptor 1 modulates motor hyperactivity, cognition, and anxiety-like behavior in an animal model of ADHD.","Raony, Ícaro",Prog Neuropsychopharmacol Biol Psychiatry,"Trace amine-associated receptor 1 (TAAR1) is a G protein-coupled receptor that has recently been implicated in several psychiatric conditions related to monoaminergic dysfunction, such as schizophrenia, substance use disorders, and mood disorders. Although attention-deficit/hyperactivity disorder (ADHD) is also related to changes in monoaminergic neurotransmission, studies that assess whether TAAR1 participates in the neurobiology of ADHD are lacking. We hypothesized that TAAR1 plays an important role in ADHD and might represent a potential therapeutic target. Here, we investigate if TAAR1 modulates behavioral phenotypes in Spontaneously Hypertensive Rats (SHR), the most validated animal model of ADHD, and Wistar Kyoto rats (WKY, used as a control strain). Our results showed that TAAR1 is downregulated in ADHD-related brain regions in SHR compared with WKY. While intracerebroventricular (i.c.v.) administration of the selective TAAR1 antagonist EPPTB impaired cognitive performance in SHR, i.c.v. administration of highly selective TAAR1 full agonist RO5256390 decreased motor hyperactivity, novelty-induced locomotion, and induced an anxiolytic-like behavior. Overall, our findings show that changes in TAAR1 levels/activity underlie behavior in SHR, suggesting that TAAR1 plays a role in the neurobiology of ADHD. Although additional confirmatory studies are required, TAAR1 might be a potential pharmacological target for individuals with this disorder.",2022,10.1016/j.pnpbp.2022.110555,Journal Article
Biological evaluation and in silico studies of novel compounds as potent TAAR1 agonists that could be used in schizophrenia treatment,"Wang, Y.",Frontiers in Pharmacology,,2023,10.3389/fphar.2023.1161964,JOUR
"Significance of mammalian N, N-dimethyltryptamine (DMT): A 60-year-old debate","Jiménez, J.H.",Journal of Psychopharmacology,,2022,10.1177/02698811221104054,JOUR
Imaging the trace amine-associated receptor 1 by positron emission tomography,"Sun, J.",Tetrahedron Letters,,2021,10.1016/j.tetlet.2021.153007,JOUR
"TAAR1 activation modulates monoaminergic neurotransmission, preventing hyperdopaminergic and hypoglutamatergic activity","Revel, F.G.",Proceedings of the National Academy of Sciences of the United States of America,,2011,10.1073/pnas.1103029108,JOUR
Protein Metabolism Changes and Alterations in Behavior of Trace Amine-Associated Receptor 1 Knockout Mice Fed a High-Fructose Diet,"Apryatin, S.A.",Neurology International,,2023,10.3390/neurolint15010022,JOUR
Trace amine-associated receptor 1 agonist modulates mismatch negativity-like responses in mice,"Aleksandrov, A.A.",Frontiers in Pharmacology,,2019,10.3389/fphar.2019.00470,JOUR
Behavioral effects of a potential novel TAAR1 antagonist,"Lam, V.M.",Frontiers in Pharmacology,,2018,10.3389/fphar.2018.00953,JOUR
Trace amine-associated receptor 1 partial agonism reveals novel paradigm for neuropsychiatric therapeutics,"Revel, F.G.",Biological Psychiatry,,2012,10.1016/j.biopsych.2012.05.014,JOUR
TAAR5 receptor agonist affects sensory gating in rats,"Aleksandrov, A.A.",Neuroscience Letters,,2018,10.1016/j.neulet.2017.12.053,JOUR
Trace amine-associated receptor 1 modulates the locomotor and sensitization effects of nicotine,"Sukhanov, I.",Frontiers in Pharmacology,,2018,10.3389/fphar.2018.00329,JOUR
"Perturbations in the catecholamine metabolism and protective effect of “3-(3, 4-dimethoxy phenyl)-1-4(methoxy phenyl) prop-2-en-1-one” during ketamine-induced schizophrenia: an in vivo and in silico studies","Venkataramaiah, C.",Journal of Biomolecular Structure and Dynamics,,2021,10.1080/07391102.2020.1765875,JOUR
Trace amine-associated receptor 1-Family archetype or iconoclast?,"Grandy, D.K.",Pharmacology and Therapeutics,,2007,10.1016/j.pharmthera.2007.06.007,JOUR
Thyroid hormones and retinoids: A possible link between genes and environment in schizophrenia,"Palha, J.A.",Brain Research Reviews,,2006,10.1016/j.brainresrev.2005.10.001,JOUR
"A multicenter, double-blind, placebo-controlled, randomized, Phase 1b crossover trial comparing two doses of ulotaront with placebo in the treatment of narcolepsy-cataplexy","Szabo, ST",SLEEP MEDICINE,"Background: Ulotaront (SEP-363856) is a novel agonist at trace amine-associated receptor 1 and sero-tonin 5-HT1A receptors in clinical development for the treatment of schizophrenia. Previous studies demonstrated ulotaront suppresses rapid eye movement (REM) sleep in both rodents and healthy vol-unteers. We assessed acute and sustained treatments of ulotaront on REM sleep and symptoms of cat-aplexy and alertness in subjects with narcolepsy-cataplexy.Methods: In a multicenter, double-blind, placebo-controlled, randomized, 3-way crossover study, ulo-taront was evaluated in 16 adults with narcolepsy-cataplexy. Two oral doses of ulotaront (25 mg and 50 mg) were administered daily for 2 weeks and compared with matching placebo (6-treatment sequence, 3-period, 3-treatment). Results: Acute treatment with both 25 mg and 50 mg of ulotaront reduced minutes spent in nighttime REM compared to placebo. A sustained 2-week administration of both doses of ulotaront reduced the mean number of short-onset REM periods (SOREMPs) during daytime multiple sleep latency test (MSLT) compared to placebo. Although cataplexy events decreased from the overall mean baseline during the 2-week treatment period, neither dose of ulotaront statistically separated from placebo (p = 0.76, 25 mg; p = 0.82, 50 mg), and no significant improvement in patient and clinician measures of sleepiness from baseline to end of the 2-week treatment period occurred in any treatment group.Conclusions: Acute and sustained treatment with ulotaront reduced nighttime REM duration and day-time SOREMPs, respectively. The effect of ulotaront on suppression of REM did not demonstrate a sta-tistical or clinically meaningful effect in narcolepsy-cataplexy. Registration: ClinicalTrials.gov identifier: NCT05015673.(c) 2023 Published by Elsevier B.V.",2023,10.1016/j.sleep.2023.04.019,JOUR
Ulotaront: review of preliminary evidence for the efficacy and safety of a TAAR1 agonist in schizophrenia,"Achtyes, ED",EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,"Ulotaront is a trace amine-associated receptor 1 (TAAR1) agonist in Phase 3 clinical development for the treatment of schizophrenia. Ulotaront was discovered through a unique, target-agnostic approach optimized to identify drug candidates lacking D2 and 5-HT2A receptor antagonism, while demonstrating an antipsychotic-like phenotypic profile in vivo. The mechanism of action (MOA) of ulotaront is thought to be mediated by agonism at TAAR1 and serotonin 5-HT1A receptors. Ulotaront has completed two Phase 2 trials (4-week acute study and 26-week open-label extension) which led to Breakthrough Therapy Designation from the US Food and Drug Administration for the treatment of schizophrenia. In the double-blind, placebo-controlled, acute study, ulotaront was associated with significant (p < 0.001) improvement in Positive and Negative Syndrome Scale (PANSS) total score (effect size [ES]: 0.45), with improvements vs. placebo also observed across secondary endpoints. Post-hoc analyses of the acute trial revealed additional evidence to support the effect of ulotaront on negative symptoms. In the 4-week study, ulotaront was well-tolerated, with an incidence of adverse events (AEs) numerically lower compared to placebo (45.8% vs. 50.4%; with a number needed to harm [NNH] for individual ulotaront AEs all > 40). The open-label extension demonstrated further improvement across schizophrenia symptoms and confirmed the tolerability of ulotaront, with a 6-month completion rate of 67%. Based on current data, ulotaront shows potential to be a first-in-class TAAR1 agonist for the treatment of schizophrenia with a safety and efficacy profile distinct from current antipsychotics.",2023,10.1007/s00406-023-01580-3,JOUR
"Receptors Involved in Mental Disorders and the Use of Clozapine, Chlorpromazine, Olanzapine, and Aripiprazole to Treat Mental Disorders","Mlambo, R",PHARMACEUTICALS,"Mental illnesses are a global health challenge, and effective medicines are needed to treat these conditions. Psychotropic drugs are commonly prescribed to manage mental disorders, such as schizophrenia, but unfortunately, they can cause significant and undesirable side effects, such as myocarditis, erectile dysfunction, and obesity. Furthermore, some schizophrenic patients may not respond to psychotropic drugs, a condition called schizophrenia-treatment resistance. Fortunately, clozapine is a promising option for patients who exhibit treatment resistance. Unlike chlorpromazine, scientists have found that clozapine has fewer neurological side effects. Additionally, olanzapine and aripiprazole are well-known for their moderating effects on psychosis and are widely used in clinical practice. To further maximize drug efficacy, it is critical to deeply understand the receptors or signaling pathways central to the nervous system, such as serotonin, histamine, trace amines, dopamine, and G-protein coupled receptors. This article provides an overview of the receptors mentioned above, as well as the antipsychotics that interact with them, such as olanzapine, aripiprazole, clozapine, and chlorpromazine. Additionally, this article discusses the general pharmacology of these medications.",2023,10.3390/ph16040603,JOUR
"TAAR1 Agonist Ulotaront Improves Glycemic Control, Reduces Body Weight and Modulates Neurocircuits Governing Energy Balance and Feeding in Rodents","Dedic, N",NEUROPSYCHOPHARMACOLOGY,,2022,,JOUR
"Molecular Pathways of the Therapeutic Effects of Ayahuasca, a Botanical Psychedelic and Potential Rapid-Acting Antidepressant","Rossi, GN",BIOMOLECULES,"Ayahuasca is a psychoactive brew traditionally used in indigenous and religious rituals and ceremonies in South America for its therapeutic, psychedelic, and entheogenic effects. It is usually prepared by lengthy boiling of the leaves of the bush Psychotria viridis and the mashed stalks of the vine Banisteriopsis caapi in water. The former contains the classical psychedelic N,N-dimethyltryptamine (DMT), which is thought to be the main psychoactive alkaloid present in the brew. The latter serves as a source for beta-carbolines, known for their monoamine oxidase-inhibiting (MAOI) properties. Recent preliminary research has provided encouraging results investigating ayahuasca's therapeutic potential, especially regarding its antidepressant effects. On a molecular level, pre-clinical and clinical evidence points to a complex pharmacological profile conveyed by the brew, including modulation of serotoninergic, glutamatergic, dopaminergic, and endocannabinoid systems. Its substances also interact with the vesicular monoamine transporter (VMAT), trace amine-associated receptor 1 (TAAR1), and sigma-1 receptors. Furthermore, ayahuasca's components also seem to modulate levels of inflammatory and neurotrophic factors beneficially. On a biological level, this translates into neuroprotective and neuroplastic effects. Here we review the current knowledge regarding these molecular interactions and how they relate to the possible antidepressant effects ayahuasca seems to produce.",2022,10.3390/biom12111618,JOUR
Public Transcriptomic Data Meta-Analysis Demonstrates TAAR6 Expression in the Mental Disorder-Related Brain Areas in Human and Mouse Brain,"Vaganova, AN",BIOMOLECULES,"G protein-coupled trace amine-associated receptors (TAAR) recognize different classes of amine compounds, including trace amines or other exogenous and endogenous molecules. Yet, most members of the TAAR family (TAAR2-TAAR9) are considered olfactory receptors involved in sensing innate odors. In this study, TAAR6 mRNA expression was evaluated in the brain transcriptomic datasets available in the GEO, Allen Brain Atlas, and GTEx databases. Transcriptomic data analysis demonstrated ubiquitous weak TAAR6 mRNA expression in the brain, especially in the prefrontal cortex and nucleus accumbens. RNA sequencing of isolated cells from the nucleus accumbens showed that the expression of TAAR6 in some cell populations may be more pronounced than in whole-tissue samples. Curiously, in D1 and D2 dopamine receptor-expressing medium spiny GABAergic neurons of the nucleus accumbens, TAAR6 expression was co-regulated with genes involved in G protein-coupled receptor signaling. However, in cholinergic interneurons of the nucleus accumbens, TAAR6 expression was not associated with the activation of any specific biological process. Finally, TAAR6 expression in the mouse prefrontal cortex was validated experimentally by RT-PCR analysis. These data demonstrated that TAAR6 is expressed at low levels in the human and mouse brain, particularly in limbic structures involved in the pathogenesis of mental disorders, and thus might represent a new pharmacotherapeutic target.",2022,10.3390/biom12091259,JOUR
Sensory Gating in TAAR1 Knockout Mice,"Aleksandrov, AA",JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,"Trace amines (TA) are a family of endogenous compounds structurally similar to classical biogenic amines that may be involved in the pathogenesis of a number of neuropsychiatric disorders. One of the most studied and perspective member of the TA associated receptors (TAARs) family is the TAAR1. The aim of the present study was to investigate the sensory gating (SG) in freely moving TAAR1 knockout mice in a chronic experiment. The study of SG was conducted in the paired-click paradigm. The SG indices were calculated as an absolute value by subtracting the second stimulus response amplitude from the first stimulus response amplitude (S1-S2) and as a relative value calculated by dividing the S2 amplitude by the response amplitude on S1 (S2/S1). As a result, a significant decrease in the amplitude of the N40 component was found in TAAR1 knockout mice compared to wild-type mice. In addition, the absolute value of sensory gating calculated by the S1-S2 method was also reduced, but the relative value of sensory gating denoted as S1/S2 ratio remained unchanged. Thus, the data obtained indicate the involvement of TAAR1 in the generation of auditory evoked potentials and the potential involvement of the trace amine system in the dosing and filtering of sensory information.",2022,10.1134/s0022093022040044,JOUR
Stimulus Specific Adaptation Is Affected in Trace Amine-Associated Receptor 1 (TAAR1) Knockout Mice,"Knyazeva, VM",JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,"TAAR1 is known as a neuromodulator of monoaminergic systems, providing the negative regulation of dopaminergic and serotonergic neuronal activity. The TAAR1 ability to regulate monoaminergic systems determines its prominent role in psychiatric and neurological disorders. The present study is aimed to provide further evidence for the role of TAAR1 in mismatch negativity (MMN) generation. The electroencephalogram was recorded in freely moving TAAR1 knockout and wild type mice. As the MMN response reflects a combination of stimulus-specific adaptation (SSA) and deviance detection (DD) response, we compare standard and deviant stimuli to the multi-standard control. The difference observed between the high-adapted standard and low-adapted control stimuli together with the similar response to deviant and control stimuli suggest that the MMN-like response in wild type mice most likely reflects the SSA. On the other hand, TAAR1 knockout mice show no difference between standard, deviant, and control stimuli, probably indicating that the SSA to repetitive stimuli is impaired in TAAR-KO mice.",2022,10.1134/s0022093022030061,JOUR
"Pharmacological characterization of 3,4-methylenedioxamphetamine (MDA) analogs and two amphetamine-based compounds: N,α-DEPEA and DPIA","Kolaczynska, KE",EUROPEAN NEUROPSYCHOPHARMACOLOGY,"3,4-methylenedioxamphetamine (MDA) is a psychoactive compound chemically related to the entactogen MDMA. MDA shares some of the entactogenic effects of MDMA but also exerts stimulant effects and psychedelic properties at higher doses. Here, we examined the pharmacological properties of MDA analogs and related amphetamine-based compounds detected in street drug samples or in sport supplements. We examined the key pharmacological mechanisms including monoamine uptake inhibition and release using human embryonic kidney 293 cells stably transfected with the respective human transporters. Additionally, we assessed monoamine transporter and receptor binding and activation properties. MDA, its fluorinated analogs, as well as the alpha-ethyl containing BDB and the dimeric amphetamine DPIA inhibited NET with the greatest potency and preferentially inhibited 5-HT vs. dopamine uptake. The beta-methoxy MDA analog 3C-BOH and the amphetamine-based N,alpha-DEPEA inhibited NET and preferentially inhibited dopamine vs. 5-HT uptake. The test drugs mediated efflux of at least one monoamine with the exception of DPIA. Most compounds bound to 5-HT2A and 5-HT2C receptors (Ki <= 10 mu M) and several substances activated the 5-HT2A and 5-HT2B receptor as partial or full agonists. Furthermore, several compounds interacted with adrenergic receptors and the trace amine associated receptor 1 (TAAR1) in the micromolar range. The pharmacological profiles of some fluorinated and nonfluorinated MDA analogs resemble the profile of MDMA. In contrast, 3CBOH and N,alpha-DEPEA displayed more pronounced dopaminergic activity similar to amphetamine. Pharmacokinetics and pharmacodynamics studies are necessary to better establish the risks and therapeutic potential of the tested drugs.(c) 2022 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY license ( http://creativecommons.org/licenses/by/4.0/ )",2022,10.1016/j.euroneuro.2022.03.006,JOUR
"Receptor Interaction Profiles of 4-Alkoxy-3,5-Dimethoxy-Phenethylamines (Mescaline Derivatives) and Related Amphetamines","Kolaczynska, KE",FRONTIERS IN PHARMACOLOGY,"3,4,5-Trimethoxyphenethylamine (mescaline) is a psychedelic alkaloid found in peyote cactus. Related 4-alkoxy-3,5-dimethoxy-substituted phenethylamines (scalines) and amphetamines (3C-scalines) are reported to induce similarly potent psychedelic effects and are therefore potential novel therapeutics for psychedelic-assisted therapy. Herein, several pharmacologically uninvestigated scalines and 3C-scalines were examined at key monoamine targets in vitro. Binding affinity at human serotonergic 5-HT1A, 5-HT2A, and 5-HT2C, adrenergic alpha(1A) and alpha(2A), and dopaminergic D-2 receptors, rat and mouse trace amine-associated receptor 1 (TAAR1), and human monoamine transporters were assessed using target specific transfected cells. Furthermore, activation of human 5-HT2A and 5-HT2B receptors, and TAAR1 was examined. Generally, scalines and 3C-scalines bound with weak to moderately high affinity to the 5-HT2A receptor (K-i = 150-12,000 nM). 3C-scalines showed a marginal preference for the 5-HT2A vs the 5-HT2C and 5-HT1A receptors whereas no preference was observed for the scalines. Extending the 4-alkoxy substituent increased 5-HT2A and 5-HT2C receptors binding affinities, and enhanced activation potency and efficacy at the 5-HT2A but not at the 5-HT2B receptor. Introduction of fluorinated 4-alkoxy substituents generally increased 5-HT2A and 5-HT2C receptors binding affinities and increased the activation potency and efficacy at the 5-HT2A and 5-HT2B receptors. Overall, no potent affinity was observed at non-serotonergic targets. As observed for other psychedelics, scalines and 3C-scalines interacted with the 5-HT2A and 5-HT2C receptors and bound with higher affinities (up to 63-fold and 34-fold increase, respectively) when compared to mescaline.",2022,10.3389/fphar.2021.794254,JOUR
