Evaluation,Study,Original_value,SRP_value,Match_original,Additional_tags,Category,Subcategory,Quantitative
SR2_Elicit,Jegerlehner2021,"STANDARD Q COVID-19 Ag (SD Biosensor): 65.3%, PCL COVID19 Ag Rapid FIA Antigen Test (PCL): 99.9%",65.3%; in asymptomatmic individuals: 44.0%,FALSE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Jegerlehner2021,"STANDARD Q COVID-19 Ag (SD Biosensor): 30.2%, PCL COVID19 Ag Rapid FIA Antigen Test (PCL): 98.1%",99.30%,FALSE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Jegerlehner2021,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Jegerlehner2022,PCL Inc. COVID19 Gold antigen test,PCL Inc. COVID19 Gold antigen test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Jegerlehner2022,Roche cobas® SARS-CoV-2; Seegene Allplex 2019-nCoV,Real-time polymerase chain reaction (RT-PCR) assays from a nasopharyngeal swab,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Jegerlehner2022,30.20%,30.20%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Jegerlehner2022,98.10%,98.10%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Jegerlehner2022,"Saliva, Nasopharyngeal swabs","Saliva, Nasopharyngeal swabs",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Kahn2021,STANDARD F COVID-19 Ag FIA (SD Biosensor Inc.), Biosensor STANDARD F COVID-19 Ag FIA ,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Kahn2021,"cobas SARS-CoV2 (Roche), Aptima SARS-CoV2 assay (Hologic), GeneXpert SARS-CoV2 (Cepheid), RealStar SARS-CoV2-RT-PCR kit (Altona)","cobas SARS-CoV2 (Roche), Aptima SARS-CoV2 assay (Hologic), GeneXpert SARS-CoV2 (Cepheid), RealStar SARS-CoV2-RT-PCR kit (Altona)",TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Kahn2021,59.40%,"59.4% (overall), 47.6% (asymptomatic), 66.7% (symptomatic)",FALSE,Yes and appropriate,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Kahn2021,99%,"99.0% (overall), 98.9% (symptomatic), 97.0% (asymptomatic)",FALSE,Yes and appropriate,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Kahn2021,"64.8% (overall), 44.4% (asymptomatic), 85.0% (symptomatic)","64.8% (overall), 44.4% (asymptomatic), 85.0% (symptomatic)",TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Kahn2021,"98.7% (overall), 99.0% (symptomatic), 91.9% (asymptomatic)","98.7% (overall), 99.0% (symptomatic), 91.9% (asymptomatic)",TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Kahn2021,usually oropharyngeal swab,Oropharyngeal swabs/throat swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Kim2021,GenBody COVAG025 (GenBody),GenBody COVAG025 (GenBody),TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Kim2021,"Allplex™ 2019-nCoV (retrospective), EURORealTime SARS-CoV-2 (prospective)","Allplex™ 2019-nCoV (retrospective), EURORealTime SARS-CoV-2 (prospective)",TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Kim2021,"prospective: 94%, retrospective: 90%","prospective: 94%, retrospective: 90%",TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Kim2021,"prospective: 100%, retrospective: 98%","prospective: 100%, retrospective: 98%",TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Kim2021,93.10%,93.10%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Kim2021,97.03%,97.03%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Kim2021,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Klajmon2021,"Humasis COVID-19 Ag Test kit (Humasis Co., Ltd.)","Humasis COVID-19 Ag Test kit (Humasis Co., Ltd.)",TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Klajmon2021,Vitassay qPCR SARS-CoV-2 kit,Vitassay qPCR SARS-CoV-2 kit,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Klajmon2021,91.49%,91.49%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Klajmon2021,97.90%,97.90%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Klajmon2021,93.48%,93.48%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Klajmon2021,97.22%,97.22%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Klajmon2021,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Kohmer2021,"LumiraDx, NADAL COVID-19 Antigen Rapid Test, R-Biopharm SARS-CoV-2, Roche SARS-CoV-2 Rapid Antigen Test","LumiraDx, NADAL COVID-19 Antigen Rapid Test, R-Biopharm SARS-CoV-2, Roche SARS-CoV-2 Rapid Antigen Test",TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Kohmer2021,"Cobas 6800 system (Roche Diagnostics International AG, Rotkreuz, Switzerland) system",Real-time RT-PCR on Cobas 6800 system,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Kohmer2021,"LumiraDx: 50%, NADAL: 24.3%, R-Biopharm: 39.2%, Roche: 39.2%","LumiraDx: 82.4%, Roche: 70.6%, R-Biopharm: 61.8%, Nal von Minden: 50%",FALSE,Yes and inappropriate,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Kohmer2021,"LumiraDx: 100%, NADAL: 100%, R-Biopharm: 96.2%, Roche: 100%","LumiraDx: 77.4%, Roche: 77.4%, R-Biopharm: 93.6%, Nal von Minden: 96.8%",FALSE,Yes and inappropriate,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Kohmer2021,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Kyritsi2021,"Rapid Test Ag 2019-nCov (PROGNOSIS, BIOTECH, Greece)","PROGNOSIS, BIOTECH, Larissa, Greece (also referred to as ProGnosis Biotech SA)",TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Kyritsi2021,TaqPath COVID-19 CE-IVD RT-PCR Kit (Applied Biosystems),TaqPath COVID-19 CE-IVD RT-PCR Kit (Applied Biosystems),TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Kyritsi2021,85.50%,85.50%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Kyritsi2021,99.80%,99.80%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Kyritsi2021,"80.7% for 1% prevalence, 95.6% for 5% prevalence","80.7% for 1% prevalence, 95.6% for 5% prevalence",TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Kyritsi2021,"99.9% for 1% prevalence, 99.5% for 5% prevalence","99.9% for 1% prevalence, 99.5% for 5% prevalence",TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Kyritsi2021,"Nasopharyngeal swabs, Nasal swabs","Nasopharyngeal swabs, Nasal swabs",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Masiá2021,PanBio (Abbott),PanBio (Abbott),TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Masiá2021,Cobas z 480 Analyzer,not reported,FALSE,no,Comparison,N/A,FALSE
SR2_Elicit,Masiá2021,68.10%,"overall 60.5%, - Symptomatic: 95% for Ct≤25, ≥85% for Ct<30, 89% for fever, cough, and malaise
  - Symptomatic >50 years with Ct<25: 100%
  - Asymptomatic: 86% for Ct<25
",FALSE,Yes and appropriate,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Masiá2021,100%,100%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Masiá2021,not reported,"- Overall PPA: 60.5% (53.3-67.4)
- Symptomatic patients:
  - Ct≤25: 95%
  - Ct<30: ≥85%
  - Symptom triad (fever, cough, malaise): 89%
  - Age >50 with Ct<25: 100%
- Asymptomatic patients:
  - Ct<25: 86%
- NPA: 100%",FALSE,Yes and inappropriate,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Masiá2021,"Nasopharyngeal swabs, Nasal swabs, Saliva","Nasopharyngeal swabs, Nasal swabs, Saliva",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Møller2022,"SARS-CoV-2 Antigen Rapid Test (Hangzhou Immuno Biotech Co Ltd, China), COVID-19 Antigen Detection Kit (DNA Diagnostic A/S, Denmark), Panbio Abbott",not reported,FALSE,No,Intervention,N/A,FALSE
SR2_Elicit,Møller2022, Internationally approved PCR platforms,not mentioned,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Møller2022,"SARS-CoV-2 Antigen Rapid Test (Hangzhou Immuno Biotech Co Ltd, China): 62.1%, COVID-19 Antigen Detection Kit (DNA Diagnostic A/S, Denmark): 65.7%, Panbio Abbott: not estimable",not mentioned,FALSE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Møller2022,"SARS-CoV-2 Antigen Rapid Test (Hangzhou Immuno Biotech Co Ltd, China): 100%, COVID-19 Antigen Detection Kit (DNA Diagnostic A/S, Denmark): 100%, Panbio Abbott: 100%",not mentioned,FALSE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Møller2022,oropharyngeal swabs nasal swabs,Nasal swabs,FALSE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Nóra2022,"PanBio (Abbott), CoV2Ag assay (Siemens Healthineers, Eschborn, Germany), GenBody COVAG025 (GenBody), GENEDIA W COVID-19 Ag Test (Green Cross Medical Science Corp.), Humasis COVID-19 Ag Test kit (Humasis Co., Ltd.), Immupass VivaDiag (VivaChek Biotech), Helix i-SARS-CoV-2 Ag Rapid Test (Cellex Biotech Co.), Roche SARS-CoV-2 Rapid Antigen Test (Roche), Rapid COVID-19 Antigen Test (Healgen Scientific), Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Antigen Detection Kit (Colloidal Gold-Based) Nanjing Vazyme Medical Technology Co","1. CLINITEST Rapid COVID-19 Antigen Test - Siemens Healthineers
2. GenBody COVID-19 Ag Test - GenBody, Inc.
3. GENEDIA W COVID-19 Ag Test - Green Cross Medical Science Corp.
4. Humasis COVID-19 Ag Test - Humasis
5. VivaDiag SARS-CoV-2 Ag Rapid Test - VivaChek Biotech
6. Helix i-SARS-CoV-2 Ag Rapid Test - Cellex Biotech Co.
7. Roche SARS-CoV-2 Rapid Antigen Test - Roche
8. Rapid COVID-19 Antigen Test - Healgen Scientific
9. Panbio COVID-19 Ag Rapid Test - Abbott Rapid Diagnostics
10. Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Antigen Detection Kit (Colloidal Gold-Based) - Nanjing Vazyme Medical Technology Co.",TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Nóra2022,LightCycler 480 Instrument II platform using the PerkinElmer® SARS-CoV-2 Real-time RT-PCR Assay,PerkinElmer1 SARS-CoV-2 Realtime RT-PCR Assay,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Nóra2022,not reported,"Overall sensitivity is 56.0% (CI 95%: 52.0-60.0%). Specific tests: GenBody 62% (95% CI: 46-77%), Roche 64% (95% CI: 52-75%), Abbott 51% (95% CI: 44-59%).",FALSE,Yes and appropriate,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Nóra2022,not reported,"Overall specificity is 98.0% (CI 95%: 97.0-99.0%). Specific tests: GenBody 90% (95% CI: 79-96%), Roche 100% (95% CI: 97-100%), Abbott 100% (95% CI: 98-100%).",FALSE,Yes and appropriate,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Nóra2022,"overall positive predictive value (PPV) for all Ag-RTDs was 94.0% (CI 95%: 90.0–96.0%), while it was between 61.0% (Humasis COVID-19 Ag Test) and 100% (Roche SARS-CoV-2 Rapid Antigen Test, Helix i-SARS-CoV-2 Ag Rapid Test, Healgen Coronavirus Antigen Rapid Test, VivaDiag SARS-CoV-2 Ag Rapid Test and Vazyme SARS-CoV-2 Antigen Detection Kit) for the individual tests",Not directly comparable due to varying prevalence,FALSE,Yes and inappropriate,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Nóra2022,"overall negative predictive value (NPV) is 79.0% (CI 95%: 77.0–82.0%) and between 67.0% (CI 95%: 55.0–77.0%, CLINITEST Rapid COVID-19 Antigen Test) and 85.0% (CI 95%: 76.0–92.0%, Vazyme SARS-CoV-2 Antigen Detection Kit) for the individual Ag-RTDs.",Not directly comparable due to varying prevalence,FALSE,Yes and inappropriate,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Nóra2022,Nasopharyngeal swabs (left nostril and left part of the throat),Nasopharyngeal swabs (left nostril and left part of the throat),TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Onsongo2021,NowCheck COVID-19 Ag test (Bionote),BioNote Inc NowCheck,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Onsongo2021,TaqPath 19 kit,TaqPath 19 kit,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Onsongo2021,not reported,84.5% (76.0-90.8) at Ct ≤35; 87.7% (77.2-94.5) at Ct ≤30; 71.5% (63.2-78.6) at Ct <40,FALSE,Yes and appropriate,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Onsongo2021,not reported,94.4% (92.7-95.8) at Ct ≤35; 97.5% (96.2-98.5) at Ct <40; 89.5% (87.4-91.4) at lowest Ct values,FALSE,Yes and appropriate,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Onsongo2021,"21.7% when ct<=25, 44.2% when ct <=30, 67.4% at ct<=35, 83.7% when ct <=40",67.40%,FALSE,no,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Onsongo2021,"99.5% when ct<=25, 99.1% when ct <=30, 98.16% at ct<=35, 95.1% when ct <=40",98.16%,FALSE,no,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Onsongo2021,"Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs","Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Osmanodja2021,Custom/Novel/In-house,Drägerwerk AG & Co. KGaA,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Osmanodja2021,Roche Cobas SARS-CoV-2 assay,not mentioned,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Osmanodja2021,88.60%," Overall: 88.6%, symptomatic with medium or high viral load: 96.7% ",TRUE,Yes and appropriate,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Osmanodja2021,99.70%,99.70%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Osmanodja2021,not reported, 62 / 63 ≈ 98.4%,FALSE,Yes and inappropriate,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Osmanodja2021,not reported,97.3% (309 / (309 + 8)),FALSE,Yes and inappropriate,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Osmanodja2021,"combined oropharyngeal and nasopharyngeal for pcr, nasal swab for RAT","Anterior nasal swabs (for Ag-RDT), oropharyngeal/nasopharyngeal swabs (for RT-PCR)",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Pandey2021,STANDARD Q COVID-19 Ag (SD Biosensor),STANDARD Q COVID-19 Ag (SD Biosensor),TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Pandey2021,53.60%,53.60%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Pandey2021,97.30%,97.35%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Pandey2021,81.10%,81.10%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Pandey2021,90.70%,90.70%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Pandey2021,"Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs","Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Peña2021,STANDARD Q COVID-19 Ag (SD Biosensor),STANDARD Q COVID-19 Ag (SD Biosensor),TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Peña2021,"GenomeCov19 Detection Kit ABM (Applied Biological Materials Inc, Canada, Catalog number G628.v2)",not mentioned,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Peña2021,69.86%,69.86%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Peña2021,99.61%,99.61%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Peña2021,94.44%,94.44%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Peña2021,97.22%,97.22%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Peña2021,nasopharyngeal swab,not mentioned,FALSE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Selvabai2022,Athenese-DX COVID-19 RAT kit,Athenese-DX COVID-19 RAT kit,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Selvabai2022,SD Biosensor Real Time PCR kit,SD Biosensor Real Time PCR kit,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Selvabai2022,74.19%,74.19%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Selvabai2022,100%,100%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Selvabai2022,100%,100%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Selvabai2022,78.30%,78.30%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Selvabai2022,"Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs","Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Skvarč2022,"Immupass VivaDiag (VivaChek Biotech), Alltest Covid19 Ag test","Immupass VivaDiag (VivaChek Biotech), Alltest Covid19 Ag test",TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Skvarč2022,Seegene Allplex™ 2019-nCoV rt-PCR assay and Cobas 6800 SARS CoV-2 rt-PCR,Seegene Allplex™ 2019-nCoV rt-PCR assay and Cobas 6800 SARS CoV-2 rt-PCR,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Skvarč2022,"Immupass VivaDiag (VivaChek Biotech):90.6%, Alltest Covid19 Ag test: 94.37%","Immupass VivaDiag (VivaChek Biotech):90.6%, Alltest Covid19 Ag test: 94.37%",TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Skvarč2022,"Immupass VivaDiag (VivaChek Biotech):100%, Alltest Covid19 Ag test: 100%","Immupass VivaDiag (VivaChek Biotech):100%, Alltest Covid19 Ag test: 100%",TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Skvarč2022,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Soleimani2021,PanBio (Abbott); COVID-19-Speed/Biospeedia COVID0-19 antigen test,PanBio (Abbott); COVID-19-Speed/Biospeedia COVID0-19 antigen test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Soleimani2021,Allplex™ SARS‐CoV‐2 Assay (Seegene Inc.),Allplex SARS-CoV-2 Assay Seegene,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Soleimani2021,PanBio (Abbott): 75%; COVID-19-Speed/Biospeedia COVID0-19 antigen test: unclear,PanBio (Abbott): 75%; COVID-19-Speed/Biospeedia COVID0-19 antigen test: 65.5%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Soleimani2021,PanBio (Abbott): 65.5%; COVID-19-Speed/Biospeedia COVID0-19 antigen test: 100%,PanBio (Abbott): 100%; COVID-19-Speed/Biospeedia COVID0-19 antigen test: 100%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Soleimani2021,100%,not mentioned,FALSE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Soleimani2021,67.90%,not mentioned,FALSE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Soleimani2021,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Thakur2021,PathoCatch (Accucare),not mentioned,FALSE,No,Intervention,N/A,FALSE
SR2_Elicit,Thakur2021,"SD Biosensor Inc., Republic of Korea assay",not mentioned,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Thakur2021,34.50%,34.50%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Thakur2021,99.80%,99.80%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Thakur2021,96.60%,96.60%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Thakur2021,91.50%,91.50%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Thakur2021,"Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs","Nasopharyngeal swabs, Oropharyngeal swabs/throat swabs",TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Turcato2021,Standard Q COVID-19 Ag (SD Biosensor),not mentioned,FALSE,No,Intervention,N/A,FALSE
SR2_Elicit,Turcato2021, GeneXpert DX System platform,not mentioned,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Turcato2021,82.90%,"overall: 82.9%, (symptomatic): 89.8%, (asymptomatic): 63.1%",TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Turcato2021,99.10%,99.10%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Turcato2021,91.10%,not mentioned,FALSE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Turcato2021,98.10%,not mentioned,FALSE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Turcato2021,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Wertenauer2023,"PanBio (Abbott), Roche SARS-CoV-2 Rapid Antigen Test (Roche)","PanBio (Abbott), Roche SARS-CoV-2 Rapid Antigen Test (Roche)",TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Wertenauer2023," RIDA®GENE SARS-CoV-2 test kit (R-Biopharm, Darmstadt, Germany)",not mentioned,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Wertenauer2023,"PanBio (Abbott): 56.8%, Roche SARS-CoV-2 Rapid Antigen Test (Roche): 60.4%","PanBio (Abbott): 56.8%, Roche SARS-CoV-2 Rapid Antigen Test (Roche): 60.4%",TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Wertenauer2023,"PanBio (Abbott): 99.9%, Roche SARS-CoV-2 Rapid Antigen Test (Roche): 99.7]%","PanBio (Abbott): 99.8%, Roche SARS-CoV-2 Rapid Antigen Test (Roche): 99.7]%",TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Wertenauer2023,"At a prevalence rate of 15% in the study population, the PPVs of the two RDTs were 98 and 99% and within the range of 90-100% in all subgroups examined",Approximately 98% for both tests at 15% prevalence,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Wertenauer2023,approximately 93%. Diagnostic efficiency also ranged between 90 and 100% ,Approximately 93% for both tests at 15% prevalence,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Wertenauer2023,"Nasopharyngeal swabs, oropharyngeal swabs","Nasopharyngeal swabs, Blood",FALSE,Yes and inappropriate,Intervention,Intervention - Sample types,FALSE
SR2_NK,Pilarowski2021,BinaxNOW (Abbott),Abbott BinaxNOW rapid antigen test ,TRUE,No,Intervention,,FALSE
SR2_NK,Pilarowski2021,57.70%,57.70%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_NK,Pilarowski2021,100,100%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_NK,Pilarowski2021,1,nr,FALSE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_NK,Pilarowski2021,"0.782,1",nr,FALSE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_NK,Chaimayo2020,STANDARD Q COVID-19 Ag (SD Biosensor),"Standard™ Q COVID-19 Ag kit (SD Biosensor®, Republic of Korea)",TRUE,No,Intervention,,FALSE
SR2_NK,Chaimayo2020,98.33%,98.33%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_NK,Chaimayo2020,98.73,98.73%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_NK,Linares2020,PanBio (Abbott),"Panbio COVID-19 Ag Rapid Test Device (Abbott Rapid Diagnostic Jena GmbH, Jena, Germany)",TRUE,No,Intervention,,FALSE
SR2_NK,Linares2020,73.3,73.30%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_NK,Cerutti2020,STANDARD Q COVID-19 Ag (SD Biosensor),"STANDARD Q COVID- 19 Ag (SD-Biosensor, RELAB, I)",TRUE,No,Intervention,,FALSE
SR2_NK,Cerutti2020,70.6,70.6%.,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_NK,Cerutti2020,100,100,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_NK,Cerutti2020,1,100%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_NK,Gupta2021,STANDARD Q COVID-19 Ag (SD Biosensor)," Standard Q rapid antigen detection test (SD Biosensor, Inc., Gurugram) ",TRUE,No,Intervention,,FALSE
SR2_NK,Gupta2021,81.8,81.80%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_NK,Gupta2021,99.6,99.6,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_NK,Gupta2021,0.984,0.984,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_NK,Gupta2021,0.947,0.947,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_NK,Boum2021,STANDARD Q COVID-19 Ag (SD Biosensor),SD Biosensor antigen rapid diagnostic test,TRUE,No,Intervention,,FALSE
SR2_NK,Boum2021,"58.4	",80,FALSE,Yes and inappropriate,Outcome,Outcome - Sensitivity,TRUE
SR2_NK,Boum2021,93.2,nr,FALSE,No,Outcome,Outcome - Specificity,TRUE
SR2_NK,Igloi2021,STANDARD Q COVID-19 Ag (SD Biosensor),Roche SD Biosensor SARS-CoV-2 rapid antigen test,FALSE,Yes and appropriate,Intervention,,FALSE
SR2_NK,Igloi2021,84.9,84.9,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_NK,Igloi2021,99.5,99.50%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_NK,Igloi2021,0.975,0.975,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_NK,Igloi2021,0.965,0.965,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
